iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,8,"[103,94,166,159,175,163,179,160]","[281000,253000,473000,453000,488000,491000,513000,449000]",179,3401000
1,2,8,"[103,94,167,154,176,163,183,160]","[281000,253000,473000,425000,496000,491000,527000,449000]",183,3395000
1,3,8,"[90,94,166,159,175,163,179,173]","[243000,253000,473000,453000,488000,491000,513000,487000]",179,3401000
1,4,8,"[90,94,167,154,176,163,183,173]","[243000,253000,473000,425000,496000,491000,527000,487000]",183,3395000
1,5,8,"[103,94,167,167,176,163,173,160]","[281000,253000,473000,466000,496000,491000,502000,449000]",176,3411000
1,6,8,"[77,94,167,154,176,163,183,184]","[205000,253000,473000,425000,496000,491000,527000,521000]",184,3391000
1,7,8,"[103,94,169,166,178,163,171,160]","[281000,253000,478000,464000,494000,491000,492000,449000]",178,3402000
1,8,8,"[103,94,172,155,178,175,178,160]","[281000,253000,483000,423000,494000,520000,518000,449000]",178,3421000
1,9,8,"[103,94,169,154,178,163,183,160]","[281000,253000,478000,425000,494000,491000,527000,449000]",183,3398000
1,10,8,"[90,94,169,154,178,163,183,173]","[243000,253000,478000,425000,494000,491000,527000,487000]",183,3398000
1,11,8,"[90,94,166,159,181,163,179,173]","[243000,253000,473000,453000,494000,491000,513000,487000]",181,3407000
1,12,8,"[103,94,166,159,181,163,179,160]","[281000,253000,473000,453000,494000,491000,513000,449000]",181,3407000
1,13,8,"[103,92,166,159,175,168,179,160]","[281000,253000,473000,453000,488000,501000,513000,449000]",179,3411000
1,14,8,"[90,92,166,159,175,168,179,173]","[243000,253000,473000,453000,488000,501000,513000,487000]",179,3411000
1,15,8,"[90,94,169,154,178,163,183,173]","[243000,253000,478000,425000,494000,491000,527000,487000]",183,3398000
1,16,8,"[112,106,167,167,176,164,173,164]","[312000,281000,473000,466000,496000,491000,502000,475000]",176,3496000
1,17,8,"[77,94,169,154,178,163,183,184]","[205000,253000,478000,425000,494000,491000,527000,521000]",184,3394000
1,18,8,"[90,132,167,159,158,168,177,173]","[243000,348000,475000,453000,437000,501000,513000,487000]",177,3457000
1,19,8,"[90,163,166,159,158,168,177,173]","[243000,419000,473000,453000,437000,501000,513000,487000]",177,3526000
1,20,8,"[95,124,169,159,178,163,177,160]","[268000,332000,478000,453000,492000,491000,513000,450000]",178,3477000
1,21,8,"[89,94,166,205,199,163,173,159]","[238000,253000,473000,540000,548000,491000,496000,450000]",205,3489000
1,22,8,"[83,108,143,230,155,226,193,235]","[235000,282000,379000,633000,415000,641000,575000,633000]",235,3793000
1,23,8,"[95,102,176,266,178,168,175,160]","[268000,271000,477000,709000,492000,495000,493000,450000]",266,3655000
1,24,8,"[80,105,180,182,237,161,184,174]","[220000,277000,483000,517000,643000,454000,542000,498000]",237,3634000
1,25,8,"[81,102,167,186,182,168,188,172]","[225000,271000,451000,531000,502000,501000,553000,483000]",188,3517000
1,26,8,"[102,141,169,192,193,163,216,141]","[278000,343000,464000,551000,539000,491000,618000,406000]",216,3690000
1,27,8,"[94,98,172,192,176,164,177,159]","[249000,259000,470000,541000,496000,493000,513000,450000]",192,3471000
1,28,8,"[90,142,169,182,158,163,184,173]","[243000,356000,464000,517000,439000,491000,542000,487000]",184,3539000
