iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,10,"[273,401,399,345,387,396,398,376,396,412]","[861000,1141000,1137000,947000,1084000,1188000,1156000,1079000,1136000,1172000]",412,10901000
1,2,10,"[247,368,411,373,392,421,431,322,344,415]","[767000,1043000,1165000,1065000,1125000,1225000,1198000,913000,950000,1171000]",431,10622000
1,3,10,"[273,401,396,345,338,397,398,413,396,412]","[861000,1141000,1132000,947000,955000,1190000,1156000,1186000,1136000,1172000]",413,10876000
1,4,10,"[152,395,403,341,388,443,437,324,424,347]","[448000,1123000,1152000,952000,1106000,1338000,1249000,924000,1148000,982000]",443,10422000
1,5,10,"[274,394,432,278,432,393,354,329,373,427]","[856000,1127000,1204000,767000,1231000,1181000,1007000,934000,1085000,1203000]",432,10595000
1,6,10,"[261,390,414,376,395,425,418,318,335,393]","[808000,1118000,1183000,1068000,1125000,1234000,1154000,915000,932000,1125000]",425,10662000
1,7,10,"[249,374,409,368,396,424,428,321,349,394]","[793000,1053000,1169000,1059000,1131000,1234000,1183000,916000,975000,1133000]",428,10646000
1,8,10,"[273,392,406,342,351,394,391,415,396,415]","[861000,1123000,1156000,932000,982000,1184000,1132000,1189000,1136000,1178000]",415,10873000
1,9,10,"[241,372,408,424,386,422,419,326,369,414]","[741000,1054000,1170000,1164000,1099000,1236000,1156000,945000,1034000,1185000]",424,10784000
1,10,10,"[272,332,398,324,422,396,408,420,392,380]","[856000,969000,1132000,899000,1190000,1187000,1194000,1184000,1114000,1062000]",422,10787000
1,11,10,"[241,372,409,423,390,427,427,325,351,412]","[729000,1041000,1170000,1173000,1110000,1233000,1181000,921000,956000,1157000]",427,10671000
1,12,10,"[241,370,408,421,389,425,419,329,369,414]","[741000,1047000,1170000,1163000,1108000,1241000,1156000,951000,1034000,1185000]",425,10796000
1,13,10,"[283,399,400,338,416,394,398,376,345,421]","[896000,1144000,1148000,934000,1163000,1192000,1159000,1077000,983000,1202000]",421,10898000
1,14,10,"[273,400,409,349,413,394,401,375,393,376]","[861000,1157000,1161000,958000,1177000,1190000,1174000,1068000,1123000,1055000]",413,10924000
1,15,10,"[237,366,417,375,394,427,432,321,339,417]","[741000,1037000,1182000,1065000,1128000,1237000,1199000,913000,932000,1179000]",432,10613000
1,16,10,"[284,399,410,340,414,393,381,376,352,420]","[901000,1150000,1162000,937000,1163000,1203000,1128000,1076000,1000000,1200000]",420,10920000
1,17,10,"[152,395,403,341,388,443,437,324,424,347]","[448000,1123000,1152000,952000,1106000,1338000,1249000,924000,1172000,982000]",443,10446000
1,18,10,"[153,399,403,341,388,447,437,326,358,397]","[453000,1144000,1149000,949000,1094000,1340000,1248000,926000,1022000,1105000]",447,10430000
1,19,10,"[152,400,398,335,391,446,436,331,425,341]","[448000,1146000,1141000,934000,1098000,1355000,1250000,943000,1148000,967000]",446,10430000
1,20,10,"[236,364,419,298,386,441,404,366,414,397]","[726000,1030000,1182000,824000,1081000,1333000,1171000,1031000,1113000,1115000]",441,10606000
1,21,10,"[241,370,415,421,387,425,434,324,350,412]","[729000,1044000,1189000,1152000,1101000,1232000,1197000,911000,950000,1166000]",434,10671000
1,22,10,"[277,377,455,347,410,401,438,369,406,382]","[867000,1076000,1284000,957000,1156000,1208000,1254000,1062000,1143000,1085000]",455,11092000
1,23,10,"[276,401,408,371,391,422,422,320,329,408]","[870000,1142000,1157000,1023000,1121000,1226000,1152000,909000,919000,1185000]",422,10704000
1,24,10,"[273,392,401,346,389,445,354,377,398,412]","[861000,1123000,1142000,945000,1086000,1340000,1020000,1081000,1143000,1172000]",445,10913000
1,25,10,"[174,411,426,375,399,431,434,323,330,383]","[537000,1183000,1211000,1073000,1143000,1240000,1191000,917000,927000,1119000]",434,10541000
1,26,10,"[153,398,398,417,395,426,455,328,361,358]","[453000,1140000,1134000,1153000,1138000,1242000,1306000,944000,1001000,975000]",455,10486000
1,27,10,"[237,366,417,349,394,427,432,321,339,417]","[741000,1037000,1182000,992000,1128000,1237000,1199000,913000,932000,1179000]",432,10540000
1,28,10,"[152,397,438,282,395,475,430,320,431,348]","[448000,1131000,1240000,782000,1138000,1391000,1223000,916000,1189000,990000]",475,10448000
1,29,10,"[236,372,416,406,381,441,437,328,369,378]","[722000,1053000,1174000,1071000,1080000,1339000,1232000,941000,1042000,1071000]",441,10725000
1,30,10,"[272,400,436,287,398,469,406,334,332,427]","[856000,1149000,1218000,782000,1139000,1376000,1162000,947000,954000,1208000]",469,10791000
1,31,10,"[260,365,417,415,391,444,399,372,300,478]","[820000,1039000,1176000,1153000,1132000,1287000,1143000,1047000,856000,1354000]",478,11007000
