iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,5,"[340,386,336,320,370]","[1032000,1172000,1044000,955000,1082000]",386,5285000
1,2,5,"[340,388,336,320,370]","[1032000,1172000,1044000,955000,1082000]",388,5285000
1,3,5,"[340,386,336,320,370]","[1032000,1172000,1044000,955000,1082000]",386,5285000
1,4,5,"[339,385,339,320,373]","[1032000,1168000,1050000,955000,1084000]",385,5289000
1,5,5,"[340,387,336,320,370]","[1032000,1172000,1044000,955000,1082000]",387,5285000
1,6,5,"[341,383,339,320,371]","[1032000,1168000,1050000,955000,1084000]",383,5289000
1,7,5,"[339,429,287,320,371]","[1032000,1317000,892000,955000,1084000]",429,5280000
1,8,5,"[377,379,359,281,372]","[1155000,1151000,1093000,826000,1088000]",379,5313000
1,9,5,"[340,362,336,361,370]","[1032000,1093000,1044000,1064000,1082000]",370,5315000
1,10,5,"[339,386,337,320,370]","[1032000,1172000,1044000,955000,1082000]",386,5285000
1,11,5,"[340,362,377,320,370]","[1032000,1093000,1153000,955000,1082000]",377,5315000
1,12,5,"[376,377,349,345,326]","[1148000,1144000,1073000,1017000,943000]",377,5325000
1,13,5,"[339,387,341,320,370]","[1032000,1174000,1044000,955000,1082000]",387,5287000
1,14,5,"[339,386,339,320,370]","[1032000,1172000,1048000,955000,1082000]",386,5289000
1,15,5,"[339,385,345,320,373]","[1032000,1168000,1062000,955000,1082000]",385,5299000
1,16,5,"[307,429,287,348,373]","[950000,1312000,892000,1041000,1088000]",429,5283000
1,17,5,"[377,379,367,281,366]","[1153000,1151000,1115000,826000,1070000]",379,5315000
1,18,5,"[374,377,410,281,315]","[1153000,1147000,1247000,826000,913000]",410,5286000
1,19,5,"[344,360,343,361,370]","[1037000,1093000,1054000,1064000,1082000]",370,5330000
1,20,5,"[341,357,343,364,370]","[1032000,1089000,1050000,1079000,1082000]",370,5332000
1,21,5,"[374,379,388,281,332]","[1153000,1154000,1190000,826000,964000]",388,5287000
1,22,5,"[336,425,416,317,350]","[1014000,1273000,1252000,924000,1016000]",425,5479000
1,23,5,"[342,386,412,417,311]","[1038000,1170000,1240000,1167000,898000]",417,5513000
1,24,5,"[344,360,405,328,370]","[1037000,1093000,1220000,952000,1082000]",405,5384000
1,25,5,"[471,377,441,313,343]","[1377000,1144000,1307000,879000,999000]",471,5706000
1,26,5,"[375,380,392,281,355]","[1155000,1156000,1186000,826000,1037000]",392,5360000
1,27,5,"[375,386,412,319,396]","[1073000,1173000,1244000,934000,1140000]",412,5564000
1,28,5,"[341,357,375,323,370]","[1032000,1089000,1145000,970000,1082000]",375,5318000
1,29,5,"[268,404,366,481,372]","[800000,1233000,1077000,1367000,1086000]",481,5563000
1,30,5,"[454,381,397,304,337]","[1343000,1154000,1185000,864000,976000]",454,5522000
1,31,5,"[385,419,378,295,348]","[1170000,1273000,1116000,872000,1013000]",419,5444000
1,32,5,"[475,405,408,297,411]","[1387000,1215000,1214000,882000,1119000]",475,5817000
1,33,5,"[440,380,472,367,290]","[1305000,1153000,1400000,997000,829000]",472,5684000
1,34,5,"[375,380,365,306,374]","[1143000,1156000,1096000,900000,1090000]",380,5385000
1,35,5,"[407,401,403,333,348]","[1231000,1157000,1211000,956000,1014000]",407,5569000
1,36,5,"[436,401,413,271,389]","[1312000,1192000,1249000,785000,1066000]",436,5604000
