iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,5,"[936,955,983,980,981]","[2635000,2807000,2944000,2877000,2814000]",983,14077000
1,2,5,"[742,946,876,1032,992]","[2159000,2748000,2504000,3081000,2791000]",1032,13283000
1,3,5,"[749,972,900,1006,967]","[2172000,2861000,2620000,2974000,2783000]",1006,13410000
1,4,5,"[719,966,964,1008,930]","[2096000,2796000,2826000,2959000,2666000]",1008,13343000
1,5,5,"[741,903,894,1036,991]","[2154000,2640000,2564000,3085000,2786000]",1036,13229000
1,6,5,"[744,916,983,987,958]","[2185000,2657000,2926000,2931000,2736000]",987,13435000
1,7,5,"[852,968,887,996,979]","[2512000,2785000,2549000,2947000,2762000]",996,13555000
1,8,5,"[740,964,907,1000,1001]","[2174000,2826000,2634000,2949000,2914000]",1001,13497000
1,9,5,"[870,963,894,990,974]","[2544000,2831000,2562000,2927000,2762000]",990,13626000
1,10,5,"[939,957,985,974,986]","[2655000,2809000,2944000,2869000,2816000]",986,14093000
1,11,5,"[717,963,1010,1008,941]","[2082000,2800000,2983000,2964000,2635000]",1010,13464000
1,12,5,"[709,988,900,998,1025]","[2080000,2879000,2614000,2947000,2890000]",1025,13410000
1,13,5,"[714,961,1037,891,934]","[2086000,2787000,3093000,2658000,2675000]",1037,13299000
1,14,5,"[715,953,991,1003,933]","[2080000,2775000,2955000,2981000,2681000]",1003,13472000
1,15,5,"[804,870,954,1013,926]","[2402000,2569000,2766000,2995000,2687000]",1013,13419000
1,16,5,"[730,939,975,1069,830]","[2132000,2729000,2852000,3173000,2371000]",1069,13257000
1,17,5,"[643,979,977,1035,944]","[1912000,2880000,2842000,3079000,2630000]",1035,13343000
1,18,5,"[711,912,984,1029,949]","[2091000,2654000,2927000,3042000,2723000]",1029,13437000
1,19,5,"[716,916,983,1027,958]","[2099000,2664000,2926000,3037000,2745000]",1027,13471000
1,20,5,"[730,978,977,1036,887]","[2129000,2868000,2846000,3081000,2477000]",1036,13401000
1,21,5,"[712,1024,1026,1030,946]","[2090000,2921000,3027000,3035000,2618000]",1030,13691000
1,22,5,"[945,935,867,996,1038]","[2664000,2727000,2474000,2940000,2955000]",1038,13760000
1,23,5,"[741,947,876,1032,989]","[2155000,2746000,2496000,3077000,2774000]",1032,13248000
1,24,5,"[866,965,888,986,969]","[2524000,2833000,2550000,2929000,2756000]",986,13592000
1,25,5,"[741,902,843,1034,941]","[2179000,2666000,2407000,3077000,2673000]",1034,13002000
1,26,5,"[717,954,1001,998,965]","[2082000,2782000,2962000,2947000,2719000]",1001,13492000
1,27,5,"[646,1020,985,1040,940]","[1916000,2944000,2889000,3091000,2635000]",1040,13475000
1,28,5,"[668,984,970,1067,831]","[1960000,2865000,2842000,3160000,2361000]",1067,13188000
1,29,5,"[715,961,1013,1101,931]","[2094000,2787000,2999000,3173000,2659000]",1101,13712000
1,30,5,"[715,961,921,1099,929]","[2101000,2831000,2725000,3208000,2671000]",1099,13536000
1,31,5,"[712,1009,1004,1004,934]","[2090000,2972000,3007000,2981000,2683000]",1009,13733000
1,32,5,"[719,967,961,996,947]","[2082000,2774000,2816000,2947000,2658000]",996,13277000
1,33,5,"[707,1038,982,1033,910]","[2080000,2990000,2927000,3050000,2615000]",1038,13662000
1,34,5,"[714,963,955,1042,930]","[2101000,2828000,2839000,3054000,2673000]",1042,13495000
1,35,5,"[674,1018,985,987,960]","[1956000,2966000,2930000,2931000,2738000]",1018,13521000
1,36,5,"[705,933,944,1003,992]","[2085000,2781000,2758000,2955000,2817000]",1003,13396000
1,37,5,"[793,967,915,987,1008]","[2306000,2841000,2653000,2937000,2922000]",1008,13659000
1,38,5,"[795,863,948,1007,954]","[2398000,2536000,2758000,2968000,2727000]",1007,13387000
1,39,5,"[911,964,921,1069,973]","[2573000,2827000,2723000,3116000,2767000]",1069,14006000
1,40,5,"[731,1051,1018,995,954]","[2128000,2977000,3024000,2938000,2677000]",1051,13744000
1,41,5,"[675,1017,984,1032,931]","[1964000,2970000,2940000,3043000,2671000]",1032,13588000
1,42,5,"[883,961,1037,891,934]","[2491000,2779000,3094000,2658000,2675000]",1037,13697000
1,43,5,"[793,920,1027,1042,982]","[2326000,2692000,2993000,3093000,2820000]",1042,13924000
1,44,5,"[721,963,975,1003,1003]","[2113000,2792000,2814000,2959000,2922000]",1003,13600000
1,45,5,"[804,871,954,1002,927]","[2402000,2571000,2766000,2958000,2692000]",1002,13389000
1,46,5,"[712,968,900,1060,926]","[2072000,2848000,2615000,3115000,2650000]",1060,13300000
1,47,5,"[741,950,921,1001,993]","[2150000,2752000,2619000,2993000,2778000]",1001,13292000
1,48,5,"[714,978,951,1078,926]","[2080000,2864000,2834000,3147000,2645000]",1078,13570000
1,49,5,"[654,982,977,1069,966]","[1873000,2872000,2860000,3167000,2774000]",1069,13546000
1,50,5,"[871,965,965,1060,988]","[2478000,2797000,2835000,3094000,2834000]",1060,14038000
1,51,5,"[776,961,903,1086,862]","[2288000,2821000,2629000,3184000,2465000]",1086,13387000
1,52,5,"[812,812,985,1031,993]","[2423000,2356000,2932000,3041000,2812000]",1031,13564000
1,53,5,"[683,1052,985,1033,945]","[2018000,3039000,2939000,3043000,2702000]",1052,13741000
1,54,5,"[806,817,901,1001,997]","[2406000,2417000,2624000,2953000,2820000]",1001,13220000
1,55,5,"[740,967,907,1000,1029]","[2174000,2832000,2634000,2949000,2916000]",1029,13505000
1,56,5,"[715,961,921,1116,929]","[2101000,2831000,2725000,3242000,2671000]",1116,13570000
1,57,5,"[716,965,1017,1014,934]","[2102000,2793000,3004000,3001000,2681000]",1017,13581000
1,58,5,"[709,998,900,1003,1017]","[2080000,2902000,2614000,2963000,2878000]",1017,13437000
1,59,5,"[645,1020,985,1045,973]","[1916000,2986000,2894000,3122000,2690000]",1045,13608000
1,60,5,"[803,915,957,1067,920]","[2394000,2558000,2813000,3107000,2665000]",1067,13537000
1,61,5,"[738,962,900,999,974]","[2142000,2829000,2623000,2949000,2801000]",999,13344000
1,62,5,"[671,1033,972,1076,891]","[1959000,3055000,2841000,3175000,2495000]",1076,13525000
1,63,5,"[756,1014,983,1047,980]","[2153000,2979000,2883000,3112000,2812000]",1047,13939000
1,64,5,"[713,965,1019,1004,934]","[2080000,2791000,3010000,2979000,2674000]",1019,13534000
1,65,5,"[713,973,1034,891,938]","[2084000,2816000,3088000,2658000,2688000]",1034,13334000
1,66,5,"[709,985,916,1007,1028]","[2080000,2873000,2655000,2965000,2901000]",1028,13474000
1,67,5,"[932,957,1029,964,984]","[2638000,2811000,3081000,2835000,2829000]",1029,14194000
1,68,5,"[742,894,930,1032,992]","[2159000,2591000,2670000,3081000,2791000]",1032,13292000
1,69,5,"[749,972,900,1006,967]","[2172000,2861000,2620000,2974000,2783000]",1006,13410000
1,70,5,"[716,965,931,998,950]","[2090000,2797000,2733000,2951000,2730000]",998,13301000
1,71,5,"[742,903,894,1036,987]","[2156000,2643000,2556000,3083000,2787000]",1036,13225000
1,72,5,"[748,910,962,993,981]","[2183000,2653000,2874000,2945000,2823000]",993,13478000
1,73,5,"[851,964,890,999,1008]","[2497000,2783000,2544000,2953000,2836000]",1008,13613000
1,74,5,"[742,963,915,1006,992]","[2178000,2825000,2653000,2976000,2905000]",1006,13537000
1,75,5,"[869,923,889,987,1021]","[2545000,2691000,2549000,2923000,2920000]",1021,13628000
1,76,5,"[938,958,991,982,985]","[2653000,2812000,2956000,2888000,2815000]",991,14124000
1,77,5,"[747,967,1012,1005,918]","[2168000,2807000,2984000,2965000,2555000]",1012,13479000
1,78,5,"[712,993,935,998,1000]","[2085000,2893000,2707000,2951000,2825000]",1000,13461000
