iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,5,"[535,546,558,564,567]","[1592000,1648000,1626000,1632000,1677000]",567,8175000
1,2,5,"[534,549,540,543,568]","[1587000,1650000,1561000,1601000,1687000]",568,8086000
1,3,5,"[511,520,518,626,562]","[1460000,1584000,1542000,1810000,1646000]",626,8042000
1,4,5,"[531,568,537,563,560]","[1581000,1712000,1548000,1620000,1675000]",568,8136000
1,5,5,"[542,500,541,582,577]","[1608000,1540000,1566000,1683000,1708000]",582,8105000
1,6,5,"[552,568,541,512,574]","[1644000,1704000,1567000,1500000,1703000]",574,8118000
1,7,5,"[535,545,558,564,568]","[1592000,1638000,1626000,1634000,1682000]",568,8172000
1,8,5,"[537,572,542,527,574]","[1602000,1722000,1559000,1561000,1703000]",574,8147000
1,9,5,"[535,575,558,509,567]","[1592000,1736000,1626000,1492000,1677000]",575,8123000
1,10,5,"[546,517,561,577,565]","[1584000,1610000,1664000,1684000,1604000]",577,8146000
1,11,5,"[537,568,556,515,574]","[1602000,1713000,1618000,1515000,1703000]",574,8151000
1,12,5,"[535,567,554,566,568]","[1592000,1689000,1618000,1644000,1682000]",568,8225000
1,13,5,"[531,527,539,600,562]","[1581000,1585000,1548000,1743000,1685000]",600,8142000
1,14,5,"[532,548,554,569,555]","[1586000,1654000,1610000,1690000,1638000]",569,8178000
1,15,5,"[552,548,541,566,570]","[1642000,1655000,1567000,1642000,1683000]",570,8189000
1,16,5,"[531,525,538,598,566]","[1581000,1584000,1550000,1748000,1699000]",598,8162000
1,17,5,"[535,544,512,601,567]","[1589000,1646000,1490000,1759000,1674000]",601,8158000
1,18,5,"[552,495,539,604,570]","[1644000,1497000,1563000,1759000,1683000]",604,8146000
1,19,5,"[540,572,545,535,578]","[1608000,1723000,1570000,1553000,1712000]",578,8166000
1,20,5,"[540,568,539,559,574]","[1607000,1712000,1555000,1616000,1703000]",574,8193000
1,21,5,"[531,572,507,584,579]","[1581000,1743000,1472000,1699000,1728000]",584,8223000
1,22,5,"[552,541,508,629,548]","[1644000,1626000,1480000,1813000,1621000]",629,8184000
1,23,5,"[597,477,537,604,566]","[1779000,1429000,1546000,1757000,1690000]",604,8201000
1,24,5,"[543,585,520,640,566]","[1612000,1764000,1503000,1825000,1672000]",640,8376000
1,25,5,"[555,501,534,613,601]","[1659000,1518000,1553000,1789000,1787000]",613,8306000
1,26,5,"[534,567,506,650,569]","[1590000,1693000,1474000,1870000,1681000]",650,8308000
1,27,5,"[534,547,508,601,594]","[1587000,1649000,1478000,1751000,1752000]",601,8217000
1,28,5,"[535,544,511,635,616]","[1589000,1644000,1488000,1861000,1824000]",635,8406000
1,29,5,"[552,544,539,643,572]","[1640000,1647000,1591000,1862000,1696000]",643,8436000
