iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules,source_auxiliary_value
1,1,5,"[660,480,593,1373,2261]","[1932000,1399000,1741000,3817000,6859000]",2261,15748000,27
1,2,5,"[1105,1216,1258,532,1206]","[3256000,3655000,3711000,1509000,3506000]",1258,15637000,51
1,3,5,"[1019,666,448,1290,2065]","[2964000,1886000,1283000,3686000,6179000]",2065,15998000,29
1,4,5,"[1778,632,730,670,1698]","[5314000,1741000,2120000,1994000,4881000]",1778,16050000,27
1,5,5,"[767,696,385,1029,2934]","[2192000,1974000,1133000,2934000,8424000]",2934,16657000,25
1,6,5,"[686,860,1829,1825,761]","[2017000,2530000,5155000,5080000,2158000]",1829,16940000,17
1,7,5,"[1855,589,1422,1303,921]","[5364000,1671000,4029000,3537000,2577000]",1855,17178000,13
1,8,5,"[316,2137,2053,387,1059]","[891000,6085000,5879000,1083000,2953000]",2137,16891000,39
1,9,5,"[827,2013,727,941,871]","[2410000,6102000,2072000,2720000,2499000]",2013,15803000,23
1,10,5,"[1577,1464,457,1844,349]","[4687000,4183000,1286000,5246000,974000]",1844,16376000,29
1,11,5,"[1073,922,495,2995,506]","[3043000,2623000,1482000,8348000,1487000]",2995,16983000,29
1,12,5,"[3337,705,651,784,534]","[9500000,2032000,1853000,2168000,1467000]",3337,17020000,21
1,13,5,"[601,1640,791,1793,453]","[1721000,4847000,2355000,5370000,1266000]",1793,15559000,25
1,14,5,"[767,662,974,2272,624]","[2146000,1919000,2824000,6926000,1806000]",2272,15621000,15
1,15,5,"[749,395,1518,1442,1589]","[2083000,1063000,4536000,4351000,4389000]",1589,16422000,13
1,16,5,"[1184,1843,496,414,1484]","[3367000,5528000,1409000,1172000,4392000]",1843,15868000,19
1,17,5,"[654,1090,1262,1425,1260]","[1893000,3094000,3544000,4186000,3674000]",1425,16391000,23
1,18,5,"[1892,601,663,1115,1293]","[5675000,1718000,1913000,3169000,3658000]",1892,16133000,15
1,19,5,"[434,593,2071,1909,533]","[1191000,1733000,6279000,5375000,1512000]",2071,16090000,19
1,20,5,"[1739,1701,1097,435,895]","[4958000,4806000,3108000,1246000,2609000]",1739,16727000,9
1,21,5,"[992,1730,2151,488,697]","[2774000,5035000,5991000,1366000,1955000]",2151,17121000,33
1,22,5,"[667,1643,1454,1551,678]","[1944000,4647000,4129000,4343000,1934000]",1643,16997000,9
1,23,5,"[597,1673,1737,1268,304]","[1791000,4983000,4985000,3574000,827000]",1737,16160000,21
1,24,5,"[365,625,2615,820,617]","[1033000,1884000,7973000,2399000,1810000]",2615,15099000,25
1,25,5,"[1332,1260,388,2022,432]","[3724000,3702000,1058000,6074000,1310000]",2022,15868000,23
1,26,5,"[1666,666,724,1196,1142]","[4935000,1911000,2060000,3583000,3310000]",1666,15799000,37
1,27,5,"[525,759,2765,393,699]","[1430000,2216000,8461000,1148000,2027000]",2765,15282000,17
1,28,5,"[1110,1326,1016,1345,833]","[3117000,3932000,2852000,4068000,2308000]",1345,16277000,23
1,29,5,"[508,465,1027,1000,2916]","[1494000,1368000,2866000,2866000,8256000]",2916,16850000,17
1,30,5,"[1282,656,1264,1452,1141]","[3610000,1897000,3587000,4306000,3217000]",1452,16617000,21
1,31,5,"[398,1976,1117,557,1486]","[1135000,5977000,3137000,1596000,4243000]",1976,16088000,29
1,32,5,"[484,1606,707,781,1699]","[1428000,4854000,2025000,2165000,5090000]",1699,15562000,25
1,33,5,"[1854,268,451,472,2114]","[5531000,752000,1249000,1356000,6433000]",2114,15321000,17
1,34,5,"[915,1635,1269,673,1216]","[2545000,4853000,3564000,1913000,3536000]",1635,16411000,25
1,35,5,"[551,1217,1638,1568,606]","[1567000,3610000,4613000,4661000,1727000]",1638,16178000,21
1,36,5,"[1464,689,1275,1451,859]","[4128000,2005000,3559000,4303000,2497000]",1464,16492000,27
1,37,5,"[636,1023,1988,828,1023]","[1844000,2877000,6002000,2388000,2883000]",1988,15994000,19
1,38,5,"[1010,1030,939,1714,976]","[2860000,2894000,2693000,5113000,2799000]",1714,16359000,13
1,39,5,"[1239,1023,911,1681,964]","[3507000,2850000,2520000,5051000,2736000]",1681,16664000,23
1,40,5,"[1063,1385,1387,434,1238]","[3102000,4063000,4008000,1261000,3608000]",1387,16042000,29
2,1,5,"[2895,705,885,331,963]","[8120000,2088000,2614000,953000,2805000]",2895,16580000,17
2,2,5,"[2479,549,1126,844,910]","[7130000,1536000,3131000,2510000,2537000]",2479,16844000,37
2,3,5,"[1393,823,1542,779,955]","[4000000,2439000,4673000,2169000,2703000]",1542,15984000,29
2,4,5,"[1169,1330,510,577,2432]","[3384000,3737000,1490000,1637000,6814000]",2432,17062000,37
2,5,5,"[694,600,779,2150,1095]","[1967000,1698000,2296000,6514000,3183000]",2150,15658000,35
2,6,5,"[1905,462,1932,902,860]","[5508000,1293000,5432000,2460000,2433000]",1932,17126000,11
2,7,5,"[1356,2336,906,404,346]","[3843000,7100000,2581000,1193000,981000]",2336,15698000,17
2,8,5,"[367,969,423,1182,2318]","[1032000,2762000,1221000,3438000,7065000]",2318,15518000,43
2,9,5,"[629,2332,768,937,572]","[1838000,7035000,2269000,2622000,1711000]",2332,15475000,21
2,10,5,"[598,584,2026,521,1462]","[1725000,1744000,6062000,1495000,4369000]",2026,15395000,23
2,11,5,"[1611,1995,476,956,708]","[4530000,6009000,1342000,2680000,1974000]",1995,16535000,19
2,12,5,"[767,1357,1364,1979,389]","[2178000,3952000,3889000,5662000,1067000]",1979,16748000,17
2,13,5,"[800,1297,1312,1153,1285]","[2256000,3830000,3682000,3288000,3641000]",1312,16697000,13
2,14,5,"[1708,958,624,1540,928]","[4822000,2700000,1740000,4592000,2698000]",1708,16552000,17
2,15,5,"[584,2216,1163,624,661]","[1750000,6754000,3343000,1749000,1928000]",2216,15524000,25
2,16,5,"[429,1525,889,470,2161]","[1206000,4364000,2462000,1349000,6581000]",2161,15962000,37
2,17,5,"[332,789,1696,1451,1031]","[913000,2221000,5144000,4393000,2943000]",1696,15614000,43
2,18,5,"[1431,1369,1059,878,888]","[4243000,4072000,2833000,2563000,2550000]",1431,16261000,29
2,19,5,"[2125,570,1051,1022,856]","[6414000,1654000,2921000,2836000,2443000]",2125,16268000,19
2,20,5,"[1485,1494,1291,489,1329]","[4260000,4178000,3564000,1434000,3761000]",1494,17197000,11
2,21,5,"[889,1189,1341,1247,1010]","[2648000,3490000,3930000,3531000,2807000]",1341,16406000,31
2,22,5,"[1700,391,1121,1341,900]","[5108000,1145000,3166000,3811000,2697000]",1700,15927000,45
2,23,5,"[1444,1290,649,1767,335]","[4050000,3751000,1835000,5359000,991000]",1767,15986000,15
2,24,5,"[378,1627,1542,788,1426]","[1087000,4621000,4563000,2214000,4071000]",1627,16556000,17
2,25,5,"[487,1119,1078,2304,645]","[1328000,3161000,3008000,6978000,1805000]",2304,16280000,11
2,26,5,"[439,2061,1606,709,612]","[1213000,6192000,4610000,2060000,1796000]",2061,15871000,29
2,27,5,"[2215,521,2173,280,936]","[6203000,1480000,6196000,767000,2631000]",2215,17277000,11
2,28,5,"[555,673,730,1021,2367]","[1602000,1922000,2090000,2943000,7142000]",2367,15699000,19
2,29,5,"[1671,541,723,1668,703]","[5034000,1616000,2052000,4935000,2009000]",1671,15646000,33
2,30,5,"[606,947,1719,609,1549]","[1623000,2779000,5150000,1721000,4622000]",1719,15895000,47
2,31,5,"[1752,2400,780,623,332]","[5093000,6866000,2145000,1747000,957000]",2400,16808000,37
2,32,5,"[1583,669,613,964,1611]","[4665000,1976000,1700000,2791000,4789000]",1611,15921000,27
2,33,5,"[805,1864,948,883,1481]","[2318000,5378000,2588000,2511000,4206000]",1864,17001000,15
2,34,5,"[566,1974,1954,980,568]","[1629000,5513000,5533000,2764000,1685000]",1974,17124000,35
2,35,5,"[1474,988,986,463,1590]","[4380000,2864000,2758000,1310000,4719000]",1590,16031000,19
2,36,5,"[556,1469,1067,1545,772]","[1541000,4342000,3217000,4557000,2222000]",1545,15879000,47
2,37,5,"[730,1385,1898,950,957]","[2135000,4015000,5372000,2590000,2757000]",1898,16869000,15
2,38,5,"[587,2260,1141,571,767]","[1721000,6843000,3328000,1655000,2124000]",2260,15671000,35
2,39,5,"[1123,524,455,2573,596]","[3288000,1459000,1273000,7841000,1696000]",2573,15557000,47
2,40,5,"[1491,910,1531,702,1171]","[4475000,2546000,4297000,2073000,3238000]",1531,16629000,23
3,1,5,"[330,903,3216,688,689]","[972000,2529000,9174000,1910000,2062000]",3216,16647000,15
3,2,5,"[1752,558,1293,521,1596]","[5262000,1536000,3617000,1468000,4512000]",1752,16395000,17
3,3,5,"[1770,993,772,623,1342]","[5349000,2897000,2218000,1815000,3690000]",1770,15969000,27
3,4,5,"[1583,919,850,511,1609]","[4678000,2615000,2401000,1424000,4800000]",1609,15918000,19
3,5,5,"[441,884,578,607,3336]","[1269000,2524000,1588000,1718000,9576000]",3336,16675000,9
3,6,5,"[945,1210,1807,937,317]","[2764000,3541000,5405000,2760000,952000]",1807,15422000,45
3,7,5,"[2714,398,754,582,628]","[8281000,1090000,2225000,1748000,1768000]",2714,15112000,21
3,8,5,"[1037,1030,929,1723,826]","[2982000,2969000,2641000,5175000,2294000]",1723,16061000,39
3,9,5,"[1280,1344,1098,397,1606]","[3666000,3792000,3078000,1148000,4746000]",1606,16430000,23
3,10,5,"[1183,1319,1359,1247,683]","[3366000,3681000,4095000,3484000,1939000]",1359,16565000,7
3,11,5,"[737,719,1628,839,1453]","[2045000,2082000,4923000,2404000,4274000]",1628,15728000,17
3,12,5,"[570,555,907,2337,904]","[1686000,1626000,2550000,7056000,2594000]",2337,15512000,19
3,13,5,"[724,1478,449,1118,1814]","[2054000,4123000,1318000,3181000,5464000]",1814,16140000,25
3,14,5,"[794,1483,1474,1092,828]","[2254000,4190000,4379000,3150000,2349000]",1483,16322000,31
3,15,5,"[1418,434,967,1380,1075]","[4230000,1243000,2783000,4201000,3069000]",1418,15526000,35
3,16,5,"[1569,1153,1762,636,727]","[4597000,3284000,4916000,1873000,2002000]",1762,16672000,13
3,17,5,"[907,449,258,2889,654]","[2607000,1258000,738000,8850000,1844000]",2889,15297000,21
3,18,5,"[1458,1108,1499,511,1171]","[4262000,3178000,4305000,1478000,3227000]",1499,16450000,11
3,19,5,"[556,1963,366,1877,852]","[1545000,5927000,1001000,5266000,2454000]",1963,16193000,9
3,20,5,"[593,573,2055,1930,340]","[1699000,1695000,5811000,5787000,974000]",2055,15966000,17
3,21,5,"[2225,756,825,548,924]","[6709000,2175000,2306000,1687000,2659000]",2225,15536000,23
3,22,5,"[545,2535,1106,1049,599]","[1553000,7158000,3220000,2992000,1708000]",2535,16631000,37
3,23,5,"[2084,1488,490,873,352]","[6292000,4384000,1463000,2448000,950000]",2084,15537000,21
3,24,5,"[1439,1739,1574,509,774]","[4012000,5076000,4349000,1456000,2169000]",1739,17062000,9
3,25,5,"[971,1292,362,1584,966]","[2858000,3774000,1037000,4875000,2803000]",1584,15347000,37
3,26,5,"[2190,1098,728,1648,502]","[6122000,3177000,2026000,4547000,1448000]",2190,17320000,25
3,27,5,"[1515,844,1229,1458,732]","[4281000,2409000,3491000,4273000,2059000]",1515,16513000,17
3,28,5,"[780,1568,1411,533,1243]","[2300000,4653000,4059000,1471000,3563000]",1568,16046000,15
3,29,5,"[2880,423,677,334,702]","[8836000,1191000,2018000,923000,2041000]",2880,15009000,23
3,30,5,"[1695,954,450,1665,519]","[5059000,2753000,1260000,4995000,1528000]",1695,15595000,47
3,31,5,"[899,581,1220,1621,1227]","[2575000,1644000,3484000,4810000,3564000]",1621,16077000,17
3,32,5,"[607,1473,723,1562,1133]","[1775000,4147000,2032000,4654000,3355000]",1562,15963000,15
3,33,5,"[860,625,2041,794,1118]","[2548000,1724000,6105000,2283000,3190000]",2041,15850000,29
3,34,5,"[714,676,537,654,3283]","[2044000,1934000,1578000,1916000,9234000]",3283,16706000,15
3,35,5,"[1390,711,1030,1327,1016]","[4097000,1991000,2945000,3907000,2970000]",1390,15910000,29
3,36,5,"[898,1135,818,2475,499]","[2594000,3257000,2356000,6990000,1445000]",2475,16642000,13
3,37,5,"[2280,800,1172,680,1074]","[6513000,2314000,3281000,1929000,2957000]",2280,16994000,17
3,38,5,"[736,858,1489,1254,1092]","[2023000,2543000,4427000,3642000,3198000]",1489,15833000,39
3,39,5,"[1659,737,1634,911,494]","[4757000,2197000,4925000,2554000,1429000]",1659,15862000,33
3,40,5,"[1118,425,2469,744,395]","[3292000,1246000,7475000,2141000,1120000]",2469,15274000,31
4,1,5,"[1708,535,533,1498,1555]","[4897000,1508000,1536000,4289000,4382000]",1708,16612000,9
4,2,5,"[909,638,469,2250,1148]","[2616000,1753000,1358000,6868000,3208000]",2250,15803000,17
4,3,5,"[1214,720,1417,1417,521]","[3535000,2128000,4208000,4212000,1448000]",1417,15531000,51
4,4,5,"[1460,1316,645,1464,915]","[4075000,3960000,1797000,4071000,2646000]",1464,16549000,11
4,5,5,"[1641,921,756,1672,743]","[4878000,2613000,2172000,4629000,2119000]",1672,16411000,23
4,6,5,"[404,685,887,2498,650]","[1106000,2027000,2610000,7587000,1861000]",2498,15191000,41
4,7,5,"[548,766,862,2422,787]","[1574000,2201000,2366000,7359000,2228000]",2422,15728000,41
4,8,5,"[327,1019,720,2381,622]","[948000,2962000,2177000,7204000,1787000]",2381,15078000,39
4,9,5,"[1608,1608,812,1375,526]","[4608000,4518000,2341000,3880000,1484000]",1608,16831000,37
4,10,5,"[622,1364,1035,1939,402]","[1754000,4045000,2924000,5830000,1122000]",1939,15675000,41
4,11,5,"[2533,469,1169,1244,516]","[7142000,1312000,3471000,3463000,1443000]",2533,16831000,23
4,12,5,"[1042,1130,1036,2017,261]","[2869000,3153000,3094000,6023000,774000]",2017,15913000,25
4,13,5,"[1729,323,664,1003,1929]","[4873000,928000,1853000,2752000,5827000]",1929,16233000,15
4,14,5,"[431,896,1446,2406,672]","[1243000,2562000,4143000,6759000,1943000]",2406,16650000,35
4,15,5,"[1380,1979,990,514,664]","[3954000,5950000,2863000,1418000,1817000]",1979,16002000,17
4,16,5,"[384,1616,836,1017,2079]","[1086000,4552000,2338000,2823000,6026000]",2079,16825000,21
4,17,5,"[1183,719,1491,1542,569]","[3361000,2052000,4250000,4584000,1699000]",1542,15946000,15
4,18,5,"[581,419,806,1260,2202]","[1720000,1145000,2257000,3760000,6608000]",2202,15490000,15
4,19,5,"[550,1658,769,1871,541]","[1598000,4933000,2110000,5575000,1505000]",1871,15721000,17
4,20,5,"[2348,657,792,567,1610]","[6655000,1887000,2211000,1614000,4523000]",2348,16890000,11
4,21,5,"[722,1470,999,739,1594]","[2035000,4222000,2854000,2166000,4746000]",1594,16023000,37
4,22,5,"[444,304,1549,1702,1694]","[1237000,853000,4409000,4785000,5037000]",1702,16321000,11
4,23,5,"[636,1088,620,1667,1931]","[1777000,3089000,1746000,4704000,5521000]",1931,16837000,25
4,24,5,"[1654,602,539,626,2030]","[4682000,1709000,1492000,1804000,6158000]",2030,15845000,19
4,25,5,"[1670,558,408,568,2112]","[4693000,1577000,1215000,1670000,6439000]",2112,15594000,21
4,26,5,"[946,711,431,1980,1804]","[2673000,2099000,1208000,5565000,5125000]",1980,16670000,37
4,27,5,"[582,437,1755,1565,1283]","[1633000,1268000,5266000,4418000,3634000]",1755,16219000,21
4,28,5,"[534,1234,1314,1357,1402]","[1557000,3517000,3700000,3794000,4051000]",1402,16619000,15
4,29,5,"[1501,379,2040,626,718]","[4508000,1105000,6132000,1757000,1994000]",2040,15496000,33
4,30,5,"[1745,631,1863,521,810]","[4951000,1850000,5533000,1472000,2265000]",1863,16071000,11
4,31,5,"[1651,1421,915,635,1000]","[4610000,4282000,2545000,1835000,2928000]",1651,16200000,31
4,32,5,"[1391,511,1322,1340,1408]","[4070000,1403000,3718000,3723000,3971000]",1408,16885000,21
4,33,5,"[1911,416,1599,456,1391]","[5545000,1159000,4437000,1367000,3978000]",1911,16486000,25
