iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules,source_auxiliary_value
1,1,8,"[964,976,372,544,140,332,284,429]","[2831000,2826000,1037000,1525000,385000,951000,793000,1227000]",976,11575000,31
1,2,8,"[248,491,528,521,1114,415,302,553]","[694000,1441000,1452000,1494000,3104000,1156000,878000,1625000]",1114,11844000,21
1,3,8,"[497,349,589,655,491,375,286,723]","[1432000,1016000,1693000,1883000,1411000,1041000,833000,2142000]",723,11451000,29
1,4,8,"[856,243,223,270,958,516,554,628]","[2387000,723000,651000,798000,2708000,1403000,1546000,1787000]",958,12003000,31
1,5,8,"[439,322,268,483,809,868,650,342]","[1250000,902000,800000,1338000,2318000,2498000,1830000,957000]",868,11893000,15
1,6,8,"[183,393,995,965,375,308,359,292]","[513000,1185000,2923000,2890000,1076000,859000,965000,832000]",995,11243000,33
1,7,8,"[460,823,351,646,310,325,788,468]","[1285000,2316000,978000,1859000,912000,932000,2205000,1360000]",823,11847000,19
1,8,8,"[200,421,934,626,258,437,600,550]","[544000,1196000,2660000,1818000,717000,1267000,1751000,1595000]",934,11548000,31
1,9,8,"[975,472,241,588,232,299,712,665]","[2835000,1355000,677000,1615000,662000,871000,1981000,1880000]",975,11876000,17
1,10,8,"[292,1203,613,355,219,209,976,182]","[815000,3507000,1766000,1041000,660000,607000,2712000,490000]",1203,11598000,25
1,11,8,"[784,801,763,364,130,563,316,400]","[2222000,2284000,2244000,1005000,362000,1628000,895000,1074000]",801,11714000,21
1,12,8,"[323,217,924,314,905,629,399,162]","[897000,614000,2691000,869000,2641000,1888000,1170000,468000]",924,11238000,27
1,13,8,"[191,596,932,257,362,736,273,673]","[529000,1702000,2707000,736000,1023000,2105000,789000,1933000]",932,11524000,25
1,14,8,"[218,231,856,531,881,368,406,402]","[616000,645000,2471000,1548000,2642000,1028000,1208000,1114000]",881,11272000,43
1,15,8,"[616,187,567,440,705,593,687,149]","[1778000,539000,1596000,1243000,2133000,1647000,2046000,408000]",705,11390000,35
1,16,8,"[784,311,539,377,786,863,248,92]","[2270000,866000,1539000,1090000,2337000,2462000,718000,223000]",863,11505000,27
1,17,8,"[723,402,383,1308,740,254,274,216]","[2066000,1119000,1048000,3603000,2140000,715000,776000,634000]",1308,12101000,19
1,18,8,"[540,798,550,473,678,592,202,212]","[1542000,2301000,1537000,1347000,1998000,1691000,553000,610000]",798,11579000,27
1,19,8,"[489,124,690,514,335,282,860,821]","[1453000,362000,1965000,1466000,923000,815000,2467000,2296000]",860,11747000,39
1,20,8,"[638,412,658,435,390,510,667,334]","[1819000,1211000,1892000,1172000,1149000,1493000,1874000,994000]",667,11604000,25
1,21,8,"[798,644,764,633,285,266,411,450]","[2331000,1795000,2155000,1812000,799000,705000,1155000,1277000]",798,12029000,23
1,22,8,"[455,229,452,668,459,224,414,979]","[1330000,679000,1281000,1966000,1279000,673000,1137000,2927000]",979,11272000,31
1,23,8,"[192,363,665,623,381,513,631,560]","[540000,1035000,2000000,1750000,1103000,1452000,1811000,1655000]",665,11346000,29
1,24,8,"[471,300,491,552,481,754,632,351]","[1374000,832000,1410000,1573000,1346000,2192000,1789000,1032000]",754,11548000,25
1,25,8,"[1437,442,369,332,342,232,372,375]","[4311000,1277000,1068000,976000,975000,644000,1041000,1032000]",1437,11324000,25
1,26,8,"[479,245,661,313,585,1181,317,250]","[1353000,723000,1823000,864000,1680000,3484000,887000,728000]",1181,11542000,27
1,27,8,"[795,673,401,572,429,406,634,204]","[2172000,2003000,1110000,1735000,1167000,1223000,1760000,574000]",795,11744000,37
1,28,8,"[526,438,242,1030,269,314,247,948]","[1491000,1308000,703000,2969000,734000,906000,704000,2713000]",1030,11528000,23
1,29,8,"[351,580,756,536,216,509,516,686]","[1015000,1643000,2205000,1456000,588000,1469000,1464000,1996000]",756,11836000,27
1,30,8,"[311,327,1116,265,388,380,953,209]","[910000,927000,3196000,708000,1083000,1198000,2756000,604000]",1116,11382000,33
1,31,8,"[310,963,395,211,606,656,229,374]","[880000,2859000,1105000,603000,1824000,1892000,686000,1149000]",963,10998000,45
1,32,8,"[724,600,880,531,380,437,336,292]","[2035000,1710000,2538000,1452000,1092000,1270000,912000,887000]",880,11896000,29
1,33,8,"[1166,466,254,358,739,437,371,424]","[3264000,1325000,724000,1025000,2166000,1211000,1036000,1178000]",1166,11929000,23
1,34,8,"[594,422,740,744,615,477,344,197]","[1729000,1204000,2117000,2081000,1747000,1371000,964000,549000]",744,11762000,23
1,35,8,"[425,869,629,631,591,434,339,249]","[1198000,2482000,1824000,1760000,1680000,1210000,978000,720000]",869,11852000,33
1,36,8,"[284,308,772,427,343,879,217,815]","[789000,889000,2138000,1205000,1004000,2514000,611000,2437000]",879,11587000,21
1,37,8,"[994,302,424,853,219,406,518,256]","[2912000,829000,1169000,2492000,648000,1157000,1499000,737000]",994,11443000,23
1,38,8,"[830,332,307,436,819,429,173,746]","[2344000,1003000,854000,1234000,2334000,1221000,493000,2158000]",830,11641000,19
1,39,8,"[645,362,229,270,1203,611,377,283]","[1885000,1039000,677000,780000,3521000,1692000,1060000,812000]",1203,11466000,15
1,40,8,"[171,162,325,717,430,1186,593,268]","[483000,480000,921000,2092000,1199000,3504000,1693000,812000]",1186,11184000,19
2,1,8,"[336,498,742,496,758,508,494,237]","[940000,1392000,2117000,1502000,2189000,1517000,1362000,675000]",758,11694000,21
2,2,8,"[455,466,661,147,299,612,591,775]","[1262000,1347000,1883000,389000,880000,1776000,1735000,2293000]",775,11565000,31
2,3,8,"[445,1018,167,814,607,345,427,398]","[1301000,2822000,454000,2345000,1648000,972000,1256000,1168000]",1018,11966000,23
2,4,8,"[129,942,378,546,243,926,376,253]","[349000,2728000,1089000,1647000,727000,2701000,1127000,741000]",942,11109000,33
2,5,8,"[418,319,897,747,300,718,319,251]","[1206000,918000,2550000,2213000,878000,2038000,938000,703000]",897,11444000,35
2,6,8,"[308,746,466,231,371,1076,911,126]","[883000,2140000,1322000,723000,1090000,2980000,2541000,336000]",1076,12015000,23
2,7,8,"[819,747,231,672,535,445,448,331]","[2307000,2053000,642000,1915000,1527000,1292000,1282000,965000]",819,11983000,25
2,8,8,"[404,378,282,114,321,585,1345,384]","[1198000,1089000,828000,309000,952000,1687000,3920000,1173000]",1345,11156000,27
2,9,8,"[877,185,310,879,457,522,289,468]","[2559000,535000,911000,2595000,1315000,1439000,896000,1275000]",879,11525000,23
2,10,8,"[370,523,647,578,648,357,516,348]","[1143000,1490000,1887000,1717000,1766000,1053000,1441000,1008000]",648,11505000,33
2,11,8,"[479,912,341,198,351,473,324,898]","[1382000,2714000,1018000,537000,1023000,1402000,873000,2555000]",912,11504000,21
2,12,8,"[608,318,864,908,182,472,203,562]","[1696000,841000,2451000,2575000,548000,1374000,574000,1715000]",908,11774000,19
2,13,8,"[309,343,638,485,576,281,450,924]","[895000,989000,1809000,1347000,1671000,826000,1350000,2625000]",924,11512000,17
2,14,8,"[551,262,415,1091,916,493,149,245]","[1597000,755000,1223000,3171000,2568000,1366000,439000,681000]",1091,11800000,25
2,15,8,"[245,363,265,540,347,307,879,1084]","[667000,1017000,764000,1569000,966000,869000,2535000,3195000]",1084,11582000,35
2,16,8,"[160,262,291,386,314,977,1208,284]","[449000,712000,813000,1159000,898000,2844000,3628000,793000]",1208,11296000,27
2,17,8,"[1014,1165,287,287,212,423,371,185]","[3081000,3392000,820000,819000,577000,1167000,1052000,505000]",1165,11413000,35
2,18,8,"[338,582,747,621,758,458,274,431]","[950000,1619000,2097000,1721000,2197000,1363000,770000,1227000]",758,11944000,19
2,19,8,"[630,430,115,208,978,591,721,240]","[1868000,1305000,327000,578000,2917000,1665000,2087000,639000]",978,11386000,31
2,20,8,"[376,907,905,239,350,698,457,407]","[979000,2499000,2587000,661000,999000,2039000,1265000,1176000]",907,12205000,19
2,21,8,"[609,436,625,207,441,593,417,669]","[1776000,1250000,1760000,594000,1253000,1703000,1236000,1959000]",669,11531000,25
2,22,8,"[1051,140,319,394,864,150,228,805]","[3128000,391000,881000,1154000,2523000,414000,648000,2309000]",1051,11448000,17
2,23,8,"[490,644,255,336,819,378,603,480]","[1408000,1846000,702000,986000,2385000,1142000,1708000,1358000]",819,11535000,17
2,24,8,"[654,221,312,948,428,332,884,215]","[1845000,646000,897000,2835000,1283000,964000,2447000,592000]",948,11509000,35
2,25,8,"[779,193,831,521,648,536,301,333]","[2223000,577000,2328000,1475000,1866000,1552000,848000,951000]",831,11820000,23
2,26,8,"[680,533,246,738,931,576,254,258]","[1924000,1498000,693000,2073000,2681000,1668000,703000,722000]",931,11962000,19
2,27,8,"[232,1023,530,647,466,575,381,310]","[635000,2896000,1492000,1829000,1333000,1704000,1104000,854000]",1023,11847000,13
2,28,8,"[715,236,406,353,460,360,611,894]","[2076000,640000,1130000,1027000,1298000,1062000,1759000,2625000]",894,11617000,33
2,29,8,"[559,1702,333,329,330,279,178,350]","[1636000,4757000,1027000,1000000,913000,801000,524000,998000]",1702,11656000,51
2,30,8,"[373,437,650,471,191,366,598,1013]","[1067000,1277000,1857000,1345000,541000,1107000,1733000,2798000]",1013,11725000,11
2,31,8,"[418,698,328,591,243,602,593,629]","[1205000,2002000,983000,1638000,696000,1744000,1721000,1783000]",698,11772000,23
2,32,8,"[487,398,711,580,596,709,143,580]","[1406000,1111000,2094000,1568000,1668000,2090000,388000,1622000]",711,11947000,21
2,33,8,"[295,587,743,580,669,404,428,346]","[841000,1665000,2147000,1655000,1973000,1165000,1174000,1019000]",743,11639000,19
2,34,8,"[536,563,665,441,1038,284,367,126]","[1514000,1628000,1920000,1299000,2995000,805000,1051000,346000]",1038,11558000,31
2,35,8,"[303,727,852,709,389,531,148,483]","[846000,2147000,2426000,2030000,1084000,1530000,407000,1375000]",852,11845000,23
2,36,8,"[300,521,208,896,772,408,472,498]","[902000,1483000,572000,2604000,2164000,1138000,1382000,1427000]",896,11672000,25
2,37,8,"[1261,533,214,536,207,305,921,220]","[3587000,1474000,644000,1553000,561000,796000,2607000,683000]",1261,11905000,31
2,38,8,"[806,335,802,595,489,748,100,226]","[2353000,946000,2266000,1671000,1428000,2153000,281000,635000]",806,11733000,17
2,39,8,"[388,748,768,551,385,390,269,605]","[1100000,2195000,2123000,1618000,1107000,1149000,769000,1729000]",768,11790000,25
2,40,8,"[911,598,212,912,217,374,516,320]","[2691000,1700000,607000,2578000,574000,1119000,1455000,907000]",912,11631000,17
3,1,8,"[642,702,468,606,615,656,281,285]","[1850000,2061000,1350000,1761000,1791000,1834000,829000,846000]",702,12322000,15
3,2,8,"[609,707,199,747,532,720,605,333]","[1762000,1987000,569000,2190000,1564000,1976000,1714000,957000]",747,12719000,19
3,3,8,"[1505,371,168,597,525,194,267,656]","[4333000,1076000,501000,1736000,1544000,580000,736000,1876000]",1505,12382000,27
3,4,8,"[756,1464,535,223,176,198,684,366]","[2138000,4263000,1523000,659000,475000,598000,1915000,1053000]",1464,12624000,23
3,5,8,"[673,1289,374,451,800,134,329,339]","[1862000,3715000,1045000,1319000,2347000,389000,928000,975000]",1289,12580000,25
3,6,8,"[667,404,897,243,354,499,943,293]","[1910000,1193000,2558000,725000,1039000,1457000,2686000,838000]",943,12406000,19
3,7,8,"[248,467,911,216,457,529,1113,379]","[688000,1347000,2611000,597000,1329000,1541000,3278000,1060000]",1113,12451000,25
3,8,8,"[464,340,1226,536,717,316,446,283]","[1324000,995000,3547000,1520000,2079000,844000,1285000,864000]",1226,12458000,15
3,9,8,"[273,1109,936,720,150,315,368,692]","[738000,3136000,2639000,2058000,415000,880000,1040000,2026000]",1109,12932000,11
3,10,8,"[476,1148,300,286,225,684,473,681]","[1354000,3261000,875000,845000,678000,2004000,1404000,1953000]",1148,12374000,21
3,11,8,"[448,453,292,679,903,532,468,739]","[1302000,1229000,839000,1943000,2615000,1474000,1336000,2087000]",903,12825000,15
3,12,8,"[338,411,317,422,248,729,1018,673]","[1009000,1198000,902000,1231000,736000,2070000,2992000,1970000]",1018,12108000,31
3,13,8,"[470,383,1045,539,497,495,327,543]","[1382000,1168000,2954000,1589000,1488000,1374000,891000,1553000]",1045,12399000,39
3,14,8,"[767,286,392,1240,515,465,435,159]","[2104000,799000,1132000,3710000,1517000,1325000,1290000,468000]",1240,12345000,17
3,15,8,"[331,189,456,583,1238,531,425,366]","[1007000,564000,1308000,1661000,3604000,1557000,1250000,1089000]",1238,12040000,35
3,16,8,"[397,393,518,170,293,526,1103,814]","[1185000,1149000,1461000,496000,863000,1476000,3238000,2404000]",1103,12272000,23
3,17,8,"[1006,406,539,403,1010,266,400,259]","[2834000,1173000,1513000,1187000,2944000,733000,1211000,782000]",1010,12377000,17
3,18,8,"[507,496,682,1116,287,626,434,219]","[1458000,1385000,1931000,3192000,859000,1850000,1247000,621000]",1116,12543000,21
3,19,8,"[508,325,360,738,526,421,464,1016]","[1475000,923000,1070000,2110000,1495000,1154000,1343000,2952000]",1016,12522000,23
3,20,8,"[1045,367,682,204,675,140,411,817]","[3134000,1139000,1878000,546000,1934000,406000,1155000,2294000]",1045,12486000,15
3,21,8,"[141,420,304,1059,244,427,890,850]","[393000,1184000,842000,3087000,704000,1183000,2634000,2465000]",1059,12492000,19
3,22,8,"[706,744,732,160,823,699,317,296]","[2002000,2150000,2064000,443000,2365000,1950000,922000,853000]",823,12749000,15
3,23,8,"[665,476,131,623,209,1345,367,487]","[1871000,1371000,382000,1827000,595000,3937000,1056000,1376000]",1345,12415000,23
3,24,8,"[1461,412,269,258,604,85,186,955]","[4239000,1238000,789000,702000,1756000,233000,573000,2732000]",1461,12262000,25
3,25,8,"[251,401,994,842,314,314,921,184]","[709000,1188000,2852000,2554000,866000,903000,2706000,503000]",994,12281000,15
3,26,8,"[304,304,595,617,1078,734,608,288]","[851000,868000,1665000,1705000,3029000,2134000,1823000,797000]",1078,12872000,17
