iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules,source_auxiliary_value
1,1,8,"[604,176,975,356,2016,748,569,225]","[1676000,477000,2724000,990000,6053000,2126000,1644000,637000]",2016,16327000,7
1,2,8,"[713,422,423,590,526,614,1308,1309]","[2052000,1162000,1182000,1682000,1520000,1697000,3826000,3704000]",1309,16825000,17
1,3,8,"[377,407,1313,426,574,483,1238,1162]","[1086000,1165000,3898000,1240000,1604000,1309000,3463000,3192000]",1313,16957000,11
1,4,8,"[1200,1216,799,164,256,1068,963,315]","[3453000,3440000,2294000,475000,713000,2942000,2712000,961000]",1216,16990000,19
1,5,8,"[438,660,761,957,2276,305,378,270]","[1252000,1915000,2128000,2661000,6505000,830000,1098000,751000]",2276,17140000,15
1,6,8,"[1023,492,1089,314,1056,378,1316,170]","[2869000,1433000,3095000,877000,3075000,1062000,3813000,484000]",1316,16708000,15
1,7,8,"[323,1189,1142,280,552,1159,517,898]","[934000,3356000,3195000,785000,1552000,3273000,1442000,2611000]",1189,17148000,13
1,8,8,"[409,269,1151,1281,249,952,891,568]","[1205000,773000,3447000,3616000,722000,2708000,2497000,1561000]",1281,16529000,19
1,9,8,"[443,602,536,744,543,275,1759,1050]","[1228000,1676000,1577000,2103000,1485000,775000,5036000,3036000]",1759,16916000,13
1,10,8,"[683,1191,1259,894,1100,214,469,268]","[1925000,3428000,3607000,2538000,3042000,605000,1299000,752000]",1259,17196000,15
1,11,8,"[403,342,321,657,1352,784,1538,532]","[1123000,996000,955000,1894000,3876000,2228000,4334000,1455000]",1538,16861000,11
1,12,8,"[659,457,285,291,2375,597,1206,406]","[1781000,1259000,777000,832000,6642000,1707000,3426000,1169000]",2375,17593000,13
1,13,8,"[1506,293,1258,708,494,452,544,609]","[4518000,885000,3476000,1995000,1414000,1285000,1526000,1667000]",1506,16766000,13
1,14,8,"[686,2038,222,240,1512,169,754,310]","[1962000,5754000,624000,686000,4262000,464000,2216000,894000]",2038,16862000,9
1,15,8,"[218,845,909,247,1327,289,732,1280]","[622000,2442000,2574000,698000,3912000,848000,2054000,3624000]",1327,16774000,15
1,16,8,"[356,368,1586,157,2119,283,584,513]","[1069000,1025000,4570000,431000,6034000,788000,1615000,1421000]",2119,16953000,11
1,17,8,"[889,306,825,162,226,2218,269,546]","[2509000,879000,2309000,459000,644000,6790000,745000,1567000]",2218,15902000,19
1,18,8,"[599,374,966,527,1125,677,715,798]","[1688000,1048000,2686000,1521000,3318000,1993000,2014000,2322000]",1125,16590000,9
1,19,8,"[306,740,1385,910,255,232,458,1846]","[866000,2017000,3913000,2511000,744000,649000,1373000,5220000]",1846,17293000,9
1,20,8,"[504,639,558,651,858,627,1273,1004]","[1464000,1750000,1560000,1787000,2419000,1813000,3650000,2853000]",1273,17296000,11
1,21,8,"[342,191,607,440,1383,1321,1090,442]","[1009000,532000,1773000,1270000,3890000,3885000,3053000,1271000]",1383,16683000,15
1,22,8,"[792,248,1455,838,693,280,309,917]","[2256000,718000,4319000,2391000,2045000,779000,909000,2706000]",1455,16123000,23
1,23,8,"[434,1289,1061,194,875,1293,150,543]","[1230000,3676000,3022000,553000,2478000,3717000,429000,1599000]",1293,16704000,15
1,24,8,"[395,258,970,269,1310,635,1306,926]","[1100000,742000,2775000,757000,3651000,1868000,3655000,2605000]",1310,17153000,9
1,25,8,"[372,439,403,1021,727,909,1308,808]","[1059000,1271000,1176000,2876000,2089000,2609000,3682000,2246000]",1308,17008000,13
1,26,8,"[651,1032,599,1117,267,491,1162,459]","[1848000,3043000,1749000,3238000,756000,1420000,3233000,1329000]",1162,16616000,19
1,27,8,"[302,552,623,1352,173,1292,600,960]","[849000,1558000,1774000,3835000,496000,3681000,1695000,2831000]",1352,16719000,13
1,28,8,"[631,1440,620,246,1439,794,376,356]","[1769000,4104000,1725000,646000,4272000,2281000,1034000,987000]",1440,16818000,5
1,29,8,"[583,219,1034,1418,455,617,1410,423]","[1740000,609000,2899000,3972000,1264000,1688000,4004000,1188000]",1418,17364000,9
1,30,8,"[575,384,388,390,347,960,1982,537]","[1602000,1099000,1169000,1168000,988000,2694000,5907000,1515000]",1982,16142000,15
1,31,8,"[317,1305,737,415,402,1965,385,478]","[887000,3553000,2080000,1181000,1202000,5597000,1136000,1381000]",1965,17017000,17
1,32,8,"[238,411,1363,694,558,1309,715,312]","[665000,1188000,4049000,1952000,1553000,3874000,2087000,847000]",1363,16215000,9
1,33,8,"[204,676,1392,1164,257,323,1225,545]","[558000,1991000,4082000,3326000,738000,937000,3390000,1576000]",1392,16598000,15
1,34,8,"[525,431,847,1287,550,1380,839,192]","[1468000,1214000,2400000,3634000,1496000,4068000,2337000,512000]",1380,17129000,9
1,35,8,"[602,1276,970,595,1409,406,359,248]","[1719000,3483000,2755000,1703000,4140000,1191000,1093000,662000]",1409,16746000,9
1,36,8,"[1521,277,463,717,734,738,613,939]","[4370000,757000,1322000,2040000,2041000,2129000,1721000,2670000]",1521,17050000,17
1,37,8,"[2012,666,324,1220,387,302,365,241]","[6128000,1871000,917000,3473000,1044000,868000,1072000,671000]",2012,16044000,13
1,38,8,"[573,1822,227,521,311,755,1126,272]","[1622000,5486000,668000,1417000,871000,2153000,3303000,754000]",1822,16274000,23
1,39,8,"[460,604,603,1425,353,343,365,1480]","[1369000,1758000,1783000,3987000,982000,982000,992000,4417000]",1480,16270000,15
1,40,8,"[543,383,791,1641,520,359,610,1063]","[1510000,1089000,2169000,4748000,1549000,985000,1788000,3004000]",1641,16842000,11
2,1,8,"[1755,704,870,201,281,424,176,1452]","[5225000,1974000,2436000,553000,784000,1194000,517000,4002000]",1755,16685000,9
2,2,8,"[1244,308,1716,358,1191,369,309,395]","[3632000,871000,4818000,1025000,3394000,1049000,880000,1077000]",1716,16746000,31
2,3,8,"[771,582,1167,1040,187,178,734,891]","[2223000,1707000,3259000,3118000,533000,515000,2116000,2655000]",1167,16126000,15
2,4,8,"[504,91,609,1780,274,1146,367,795]","[1497000,234000,1679000,5263000,787000,3297000,1079000,2293000]",1780,16129000,19
2,5,8,"[421,693,1122,331,1830,302,507,405]","[1206000,1951000,3189000,931000,5494000,864000,1444000,1114000]",1830,16193000,17
2,6,8,"[275,1206,1214,307,385,1094,464,922]","[760000,3582000,3407000,847000,1121000,3170000,1351000,2567000]",1214,16805000,9
2,7,8,"[441,1991,286,261,300,917,1329,295]","[1236000,5662000,789000,703000,849000,2607000,3946000,831000]",1991,16623000,15
2,8,8,"[756,147,552,374,1603,527,860,1136]","[2121000,402000,1590000,994000,4541000,1522000,2509000,3200000]",1603,16879000,11
2,9,8,"[188,447,1786,604,1036,659,911,423]","[505000,1263000,5094000,1621000,2908000,1858000,2675000,1200000]",1786,17124000,11
2,10,8,"[326,694,456,1809,693,216,420,1283]","[904000,1967000,1275000,5118000,1930000,566000,1233000,3776000]",1809,16769000,17
2,11,8,"[417,938,805,553,708,785,1252,412]","[1258000,2639000,2267000,1597000,2034000,2193000,3591000,1146000]",1252,16725000,13
2,12,8,"[490,1055,284,818,488,621,1057,1098]","[1315000,3068000,798000,2402000,1327000,1735000,3136000,3096000]",1098,16877000,11
2,13,8,"[401,513,1601,1329,1009,291,273,179]","[1123000,1500000,4816000,3808000,2837000,810000,783000,490000]",1601,16167000,17
2,14,8,"[207,403,1614,558,556,329,784,1164]","[600000,1111000,4823000,1577000,1547000,958000,2115000,3479000]",1614,16210000,9
2,15,8,"[375,860,743,710,963,434,1360,349]","[1089000,2431000,2047000,2011000,2697000,1239000,4095000,965000]",1360,16574000,11
2,16,8,"[616,1113,293,245,1878,240,424,1163]","[1781000,3120000,868000,697000,5171000,675000,1190000,3421000]",1878,16923000,7
2,17,8,"[558,613,1085,287,337,549,1645,610]","[1562000,1748000,3064000,823000,958000,1611000,4916000,1707000]",1645,16389000,17
2,18,8,"[843,940,246,1912,794,387,353,703]","[2311000,2684000,720000,5375000,2266000,1102000,1023000,1940000]",1912,17421000,13
2,19,8,"[1468,561,704,309,932,519,214,1428]","[4031000,1573000,1932000,921000,2656000,1460000,581000,4143000]",1468,17297000,7
2,20,8,"[241,499,782,768,801,1880,653,290]","[686000,1388000,2197000,2177000,2299000,5391000,1886000,805000]",1880,16829000,9
2,21,8,"[391,566,458,415,597,280,799,2308]","[1182000,1688000,1282000,1142000,1670000,785000,2318000,6555000]",2308,16622000,17
2,22,8,"[369,2091,402,289,1236,335,296,1173]","[1063000,5802000,1074000,800000,3488000,940000,878000,3335000]",2091,17380000,15
2,23,8,"[801,687,603,1182,255,537,577,1116]","[2255000,1883000,1695000,3482000,738000,1610000,1651000,3190000]",1182,16504000,15
2,24,8,"[1096,244,394,319,455,619,971,1965]","[3188000,720000,1082000,881000,1243000,1796000,2784000,5446000]",1965,17140000,9
2,25,8,"[325,1430,730,218,161,640,993,1115]","[909000,4252000,2049000,640000,508000,1802000,2825000,3254000]",1430,16239000,19
2,26,8,"[465,386,1041,1103,1027,634,486,877]","[1292000,1027000,2967000,3234000,2933000,1834000,1345000,2442000]",1103,17074000,5
