iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules,source_auxiliary_value
1,1,5,"[330,381,410,405,398]","[972000,1076000,1195000,1098000,1152000]",410,5493000,85
1,2,5,"[326,366,391,358,385]","[962000,1041000,1133000,1037000,1133000]",391,5306000,95
1,3,5,"[381,361,391,387,375]","[1115000,1055000,1084000,1098000,1086000]",391,5438000,217
1,4,5,"[389,373,346,373,376]","[1138000,1061000,1007000,1061000,1106000]",389,5373000,125
1,5,5,"[358,321,408,388,387]","[1054000,952000,1167000,1121000,1076000]",408,5370000,181
1,6,5,"[417,400,331,430,373]","[1227000,1142000,920000,1217000,1052000]",430,5558000,289
1,7,5,"[375,371,397,383,350]","[1086000,1093000,1139000,1111000,990000]",397,5419000,145
1,8,5,"[363,344,381,380,361]","[1054000,1006000,1119000,1080000,1046000]",381,5305000,93
1,9,5,"[379,314,326,398,420]","[1133000,910000,958000,1114000,1227000]",420,5342000,199
1,10,5,"[400,423,370,330,388]","[1136000,1233000,1085000,924000,1112000]",423,5490000,185
1,11,5,"[392,343,368,403,337]","[1133000,995000,1078000,1153000,992000]",403,5351000,113
1,12,5,"[407,361,366,399,364]","[1148000,1040000,1043000,1182000,1040000]",407,5453000,245
1,13,5,"[352,409,503,309,405]","[1001000,1120000,1399000,900000,1197000]",503,5617000,229
1,14,5,"[314,341,424,430,372]","[902000,973000,1233000,1253000,1046000]",430,5407000,157
1,15,5,"[420,414,353,304,419]","[1215000,1182000,1018000,862000,1200000]",420,5477000,111
1,16,5,"[357,386,323,372,397]","[1056000,1132000,943000,1056000,1139000]",397,5326000,93
1,17,5,"[421,379,425,301,291]","[1226000,1094000,1248000,893000,817000]",425,5278000,185
1,18,5,"[314,528,321,399,342]","[861000,1521000,924000,1149000,1002000]",528,5457000,253
1,19,5,"[290,505,366,443,252]","[856000,1469000,1047000,1285000,714000]",505,5371000,179
1,20,5,"[345,433,369,374,415]","[993000,1252000,1040000,1066000,1190000]",433,5541000,221
1,21,5,"[305,419,414,412,382]","[916000,1181000,1160000,1180000,1093000]",419,5530000,93
1,22,5,"[336,365,382,404,408]","[1002000,1072000,1094000,1110000,1157000]",408,5435000,203
1,23,5,"[318,349,302,484,464]","[916000,1007000,835000,1354000,1378000]",484,5490000,217
1,24,5,"[398,380,397,341,361]","[1129000,1120000,1142000,970000,1052000]",398,5413000,79
1,25,5,"[329,356,382,403,382]","[926000,1033000,1142000,1139000,1121000]",403,5361000,115
1,26,5,"[397,347,373,351,369]","[1127000,1002000,1094000,1032000,1073000]",397,5328000,81
1,27,5,"[397,402,358,410,310]","[1141000,1185000,1039000,1168000,887000]",410,5420000,215
1,28,5,"[301,322,321,493,412]","[872000,914000,924000,1448000,1195000]",493,5353000,249
1,29,5,"[329,395,409,430,328]","[940000,1131000,1166000,1247000,953000]",430,5437000,215
1,30,5,"[403,394,388,373,346]","[1190000,1154000,1063000,1075000,974000]",403,5456000,173
1,31,5,"[374,358,401,387,462]","[1067000,967000,1137000,1083000,1353000]",462,5607000,267
1,32,5,"[400,390,249,387,395]","[1142000,1167000,723000,1107000,1156000]",400,5295000,199
1,33,5,"[455,449,375,347,427]","[1270000,1271000,1067000,979000,1190000]",455,5777000,259
1,34,5,"[362,361,369,392,369]","[1072000,1006000,1023000,1150000,1104000]",392,5355000,201
1,35,5,"[434,334,374,433,358]","[1246000,953000,1051000,1241000,1050000]",434,5541000,163
1,36,5,"[277,348,487,372,365]","[793000,1032000,1430000,1065000,1034000]",487,5354000,213
1,37,5,"[334,352,360,400,484]","[943000,986000,1004000,1183000,1397000]",484,5513000,257
1,38,5,"[340,363,368,375,367]","[982000,1083000,1098000,1059000,1055000]",375,5277000,189
1,39,5,"[383,334,411,369,376]","[1126000,965000,1153000,1071000,1084000]",411,5399000,175
1,40,5,"[331,386,293,345,440]","[968000,1114000,832000,1038000,1297000]",440,5249000,275
2,1,5,"[353,297,396,393,364]","[1021000,861000,1120000,1086000,1061000]",396,5149000,183
2,2,5,"[274,291,363,460,411]","[773000,861000,1014000,1322000,1173000]",460,5143000,159
2,3,5,"[418,383,274,436,357]","[1160000,1108000,767000,1238000,1015000]",436,5288000,223
2,4,5,"[563,311,432,258,319]","[1585000,877000,1247000,717000,885000]",563,5311000,197
2,5,5,"[226,507,308,553,250]","[617000,1476000,862000,1568000,719000]",553,5242000,253
2,6,5,"[297,315,366,529,386]","[849000,878000,1023000,1499000,1076000]",529,5325000,251
2,7,5,"[418,338,478,400,317]","[1169000,935000,1344000,1121000,868000]",478,5437000,255
2,8,5,"[569,252,353,346,309]","[1623000,714000,995000,1013000,858000]",569,5203000,235
2,9,5,"[306,377,438,290,384]","[852000,1066000,1257000,850000,1119000]",438,5144000,137
2,10,5,"[341,386,398,405,360]","[949000,1066000,1129000,1128000,1051000]",405,5323000,203
2,11,5,"[396,360,374,361,397]","[1119000,1017000,1027000,1032000,1127000]",397,5322000,76
2,12,5,"[379,423,289,393,403]","[1106000,1173000,782000,1131000,1136000]",423,5328000,185
