iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,10,"[432,555,620,586,607,637,558,548,607,494]","[1229000,1521000,1803000,1730000,1646000,1811000,1604000,1570000,1734000,1413000]",637,16061000
1,2,10,"[436,561,671,555,525,476,578,541,648,490]","[1236000,1548000,1966000,1616000,1530000,1341000,1691000,1556000,1864000,1405000]",671,15753000
1,3,10,"[472,636,635,546,554,627,617,548,549,581]","[1353000,1779000,1784000,1590000,1545000,1808000,1726000,1588000,1589000,1606000]",636,16368000
1,4,10,"[300,803,751,471,606,613,525,505,382,408]","[833000,2261000,2162000,1360000,1753000,1708000,1556000,1436000,1067000,1149000]",803,15285000
1,5,10,"[432,554,624,585,648,614,562,543,608,499]","[1224000,1529000,1808000,1728000,1754000,1748000,1616000,1557000,1748000,1426000]",648,16138000
1,6,10,"[424,540,571,614,509,632,587,546,600,613]","[1157000,1498000,1629000,1720000,1447000,1866000,1713000,1602000,1760000,1811000]",632,16203000
1,7,10,"[519,585,626,587,642,553,443,537,517,473]","[1443000,1617000,1795000,1744000,1818000,1538000,1293000,1520000,1482000,1355000]",642,15605000
1,8,10,"[424,542,580,557,558,632,586,549,597,614]","[1146000,1493000,1644000,1557000,1597000,1875000,1710000,1608000,1757000,1813000]",632,16200000
1,9,10,"[300,802,795,472,603,619,527,506,378,418]","[833000,2263000,2287000,1377000,1744000,1729000,1563000,1438000,1047000,1162000]",802,15443000
1,10,10,"[433,555,624,587,477,633,553,548,607,494]","[1229000,1528000,1813000,1744000,1392000,1792000,1588000,1579000,1743000,1409000]",633,15817000
1,11,10,"[431,563,620,584,653,539,634,554,591,511]","[1207000,1558000,1806000,1722000,1783000,1503000,1808000,1566000,1692000,1448000]",653,16093000
1,12,10,"[507,544,554,577,566,642,598,564,600,613]","[1359000,1563000,1560000,1672000,1599000,1793000,1759000,1644000,1708000,1733000]",642,16390000
1,13,10,"[427,563,620,550,567,586,562,542,646,547]","[1219000,1549000,1813000,1606000,1558000,1634000,1616000,1564000,1853000,1582000]",646,15994000
1,14,10,"[486,659,631,598,670,524,457,514,524,440]","[1347000,1827000,1832000,1742000,1992000,1465000,1314000,1458000,1495000,1293000]",670,15765000
1,15,10,"[440,565,624,592,444,655,537,615,582,503]","[1238000,1554000,1815000,1760000,1274000,1859000,1558000,1743000,1659000,1441000]",655,15901000
1,16,10,"[378,546,874,464,639,592,485,553,483,424]","[1056000,1526000,2496000,1314000,1790000,1674000,1383000,1589000,1385000,1183000]",874,15396000
1,17,10,"[278,753,950,416,639,534,499,444,435,455]","[809000,2126000,2674000,1202000,1810000,1542000,1475000,1260000,1229000,1290000]",950,15417000
1,18,10,"[470,633,635,547,552,632,619,550,557,572]","[1351000,1773000,1784000,1595000,1544000,1818000,1736000,1586000,1605000,1578000]",635,16370000
1,19,10,"[431,561,621,590,598,638,562,547,596,500]","[1223000,1543000,1821000,1747000,1634000,1812000,1614000,1562000,1695000,1428000]",638,16079000
1,20,10,"[438,569,624,589,442,656,538,616,582,501]","[1234000,1564000,1815000,1754000,1268000,1864000,1555000,1751000,1656000,1437000]",656,15898000
1,21,10,"[498,656,631,600,657,524,455,533,473,483]","[1383000,1825000,1836000,1751000,1957000,1459000,1306000,1487000,1368000,1378000]",657,15750000
1,22,10,"[425,543,547,600,511,634,588,592,600,614]","[1144000,1491000,1540000,1700000,1451000,1880000,1720000,1721000,1760000,1813000]",634,16220000
1,23,10,"[479,575,527,638,593,565,531,615,588,500]","[1343000,1582000,1523000,1888000,1637000,1608000,1537000,1753000,1660000,1447000]",638,15978000
1,24,10,"[431,561,621,590,598,638,562,547,596,500]","[1223000,1543000,1821000,1747000,1628000,1812000,1614000,1562000,1701000,1428000]",638,16079000
1,25,10,"[426,567,621,621,566,583,472,542,649,542]","[1201000,1566000,1818000,1831000,1558000,1640000,1341000,1555000,1863000,1572000]",649,15945000
1,26,10,"[464,536,632,633,646,590,446,528,510,537]","[1294000,1510000,1753000,1868000,1921000,1642000,1308000,1495000,1456000,1596000]",646,15843000
1,27,10,"[430,573,578,598,434,644,597,660,580,485]","[1187000,1581000,1684000,1755000,1249000,1771000,1713000,1864000,1652000,1390000]",660,15846000
1,28,10,"[429,561,670,606,532,579,507,541,593,491]","[1219000,1548000,1954000,1778000,1553000,1632000,1456000,1553000,1703000,1407000]",670,15803000
1,29,10,"[309,714,939,418,688,535,501,445,458,406]","[858000,2056000,2637000,1198000,1964000,1541000,1470000,1259000,1303000,1136000]",939,15422000
1,30,10,"[472,577,533,643,588,564,530,614,578,506]","[1333000,1589000,1535000,1907000,1626000,1606000,1537000,1754000,1652000,1446000]",643,15985000
1,31,10,"[395,553,874,459,639,593,489,553,487,418]","[1120000,1554000,2485000,1291000,1794000,1680000,1374000,1595000,1391000,1159000]",874,15443000
1,32,10,"[479,656,631,601,657,524,455,533,521,483]","[1324000,1825000,1841000,1753000,1957000,1459000,1306000,1487000,1483000,1378000]",657,15813000
