iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,5,"[1012,816,1037,1012,1056]","[2863000,2349000,3074000,3089000,2982000]",1056,14357000
1,2,5,"[921,819,1075,895,1069]","[2621000,2337000,3218000,2757000,3039000]",1075,13972000
1,3,5,"[1036,817,1032,1009,1040]","[2916000,2354000,3054000,3074000,2938000]",1040,14336000
1,4,5,"[830,860,1069,894,1089]","[2407000,2466000,3224000,2763000,3037000]",1089,13897000
1,5,5,"[819,865,1064,896,1093]","[2356000,2466000,3229000,2761000,3046000]",1093,13858000
1,6,5,"[820,824,1033,1045,1089]","[2358000,2346000,3095000,3151000,3035000]",1089,13985000
1,7,5,"[849,873,1041,1035,1009]","[2463000,2538000,3063000,3123000,2837000]",1041,14024000
1,8,5,"[823,863,1065,943,1082]","[2371000,2466000,3220000,2873000,3003000]",1082,13933000
1,9,5,"[842,768,1067,1043,1068]","[2421000,2253000,3161000,3147000,2988000]",1068,13970000
1,10,5,"[744,878,1104,895,1088]","[2144000,2541000,3321000,2745000,3044000]",1104,13795000
1,11,5,"[1017,770,1047,1029,978]","[2890000,2278000,3079000,3102000,2773000]",1047,14122000
1,12,5,"[743,873,1107,905,942]","[2144000,2506000,3325000,2758000,2742000]",1107,13475000
1,13,5,"[1014,844,1037,1041,977]","[2876000,2428000,3054000,3148000,2773000]",1041,14279000
1,14,5,"[1024,774,1076,1002,980]","[2897000,2288000,3162000,3018000,2779000]",1076,14144000
1,15,5,"[742,865,1158,894,1088]","[2144000,2486000,3427000,2751000,3036000]",1158,13844000
1,16,5,"[822,858,1117,896,1091]","[2367000,2454000,3315000,2749000,3039000]",1117,13924000
1,17,5,"[847,832,1108,899,1066]","[2427000,2386000,3317000,2767000,3021000]",1108,13918000
1,18,5,"[948,888,1054,1030,980]","[2694000,2574000,3096000,3104000,2773000]",1054,14241000
1,19,5,"[977,898,1068,899,1015]","[2828000,2603000,3207000,2750000,2894000]",1068,14282000
1,20,5,"[749,871,1159,897,941]","[2155000,2511000,3425000,2749000,2740000]",1159,13580000
1,21,5,"[742,865,1158,894,1088]","[2144000,2489000,3427000,2751000,3037000]",1158,13848000
1,22,5,"[919,819,1076,896,1071]","[2617000,2340000,3218000,2762000,3043000]",1076,13980000
1,23,5,"[815,861,1113,894,1090]","[2352000,2463000,3316000,2747000,3046000]",1113,13924000
1,24,5,"[944,838,1068,1069,940]","[2690000,2447000,3110000,3236000,2699000]",1069,14182000
1,25,5,"[1016,895,1069,944,959]","[2861000,2569000,3175000,2868000,2719000]",1069,14192000
1,26,5,"[863,889,1038,1042,1007]","[2544000,2560000,3105000,3148000,2985000]",1042,14342000
1,27,5,"[909,827,1047,1053,1062]","[2558000,2387000,3126000,3163000,3041000]",1062,14275000
1,28,5,"[814,812,1088,1037,1093]","[2353000,2323000,3202000,3130000,3059000]",1093,14067000
1,29,5,"[925,836,1104,895,1006]","[2720000,2440000,3308000,2751000,2980000]",1104,14199000
1,30,5,"[804,835,1088,1039,1089]","[2325000,2392000,3189000,3134000,3035000]",1089,14075000
1,31,5,"[1027,845,1051,1029,969]","[2912000,2423000,3084000,3102000,2740000]",1051,14261000
1,32,5,"[804,835,1088,1039,1089]","[2325000,2389000,3189000,3134000,3034000]",1089,14071000
1,33,5,"[803,835,1038,1042,1113]","[2301000,2406000,3099000,3137000,3153000]",1113,14096000
1,34,5,"[1025,844,1044,1038,965]","[2906000,2423000,3062000,3135000,2735000]",1044,14261000
1,35,5,"[797,837,1104,902,1125]","[2270000,2398000,3312000,2767000,3199000]",1125,13946000
1,36,5,"[795,835,1038,1042,1113]","[2266000,2398000,3105000,3137000,3174000]",1113,14080000
1,37,5,"[816,838,1067,1037,1093]","[2357000,2379000,3146000,3130000,3056000]",1093,14068000
1,38,5,"[1033,848,1042,1036,969]","[2914000,2444000,3063000,3125000,2741000]",1042,14287000
1,39,5,"[1018,844,1050,1030,982]","[2882000,2428000,3084000,3104000,2788000]",1050,14286000
1,40,5,"[858,817,1090,885,1120]","[2441000,2329000,3280000,2718000,3200000]",1120,13968000
1,41,5,"[783,902,1160,1043,1097]","[2289000,2548000,3380000,3135000,3066000]",1160,14418000
1,42,5,"[757,888,1107,1038,1133]","[2119000,2536000,3244000,3106000,3191000]",1133,14196000
1,43,5,"[899,957,1066,1037,979]","[2553000,2719000,3151000,3119000,2773000]",1066,14315000
1,44,5,"[940,765,1037,1067,989]","[2659000,2266000,3073000,3238000,2809000]",1067,14045000
1,45,5,"[957,890,991,1074,963]","[2713000,2587000,2918000,3252000,2730000]",1074,14200000
1,46,5,"[823,828,1031,1043,1089]","[2372000,2350000,3091000,3151000,3037000]",1089,14001000
1,47,5,"[782,895,1096,1043,1168]","[2247000,2562000,3200000,3138000,3267000]",1168,14414000
1,48,5,"[949,811,1045,1037,980]","[2690000,2419000,3066000,3117000,2785000]",1045,14077000
1,49,5,"[812,828,1080,1042,1092]","[2356000,2352000,3198000,3137000,3052000]",1092,14095000
1,50,5,"[807,849,1030,1040,955]","[2342000,2447000,3080000,3151000,2779000]",1040,13799000
