iteration_id,solution_id,agv_count,running_times_seconds,energy_consumptions_joules,max_running_time_seconds,total_energy_consumption_joules
1,1,5,"[651,996,1041,1017,984]","[1897000,2761000,3189000,2904000,2874000]",1041,13625000
1,2,5,"[861,997,1000,1004,987]","[2451000,2734000,3057000,2867000,2909000]",1004,14018000
1,3,5,"[666,996,1036,1025,992]","[1917000,2763000,3162000,2927000,2900000]",1036,13669000
1,4,5,"[652,993,1044,1023,978]","[1899000,2719000,3209000,2916000,2859000]",1044,13602000
1,5,5,"[626,857,1033,1072,943]","[1794000,2369000,3129000,3063000,2753000]",1072,13108000
1,6,5,"[625,872,1052,1038,992]","[1803000,2491000,3211000,2976000,2901000]",1052,13382000
1,7,5,"[774,986,1030,943,996]","[2218000,2765000,3148000,2734000,2929000]",1030,13794000
1,8,5,"[836,1013,1005,935,985]","[2371000,2792000,3069000,2724000,2912000]",1013,13868000
1,9,5,"[654,826,1061,1031,985]","[1905000,2407000,3232000,2940000,2885000]",1061,13369000
1,10,5,"[799,822,1035,1033,984]","[2324000,2439000,3126000,2969000,2889000]",1035,13747000
1,11,5,"[656,825,1064,1043,986]","[1905000,2399000,3228000,2973000,2884000]",1064,13389000
1,12,5,"[622,871,1076,1046,963]","[1790000,2494000,3305000,3060000,2731000]",1076,13380000
1,13,5,"[773,983,1027,1004,993]","[2216000,2765000,3129000,2871000,2912000]",1027,13893000
1,14,5,"[678,996,1040,1022,992]","[1958000,2769000,3186000,2914000,2897000]",1040,13724000
1,15,5,"[830,999,1004,1015,982]","[2359000,2771000,3062000,2889000,2899000]",1015,13980000
1,16,5,"[642,928,1061,1026,982]","[1882000,2590000,3212000,2916000,2879000]",1061,13479000
1,17,5,"[658,954,1038,1059,950]","[1889000,2640000,3211000,3093000,2773000]",1059,13606000
1,18,5,"[663,953,1044,1044,956]","[1891000,2644000,3238000,3064000,2781000]",1044,13618000
1,19,5,"[665,834,1067,999,998]","[1941000,2414000,3241000,2883000,2909000]",1067,13388000
1,20,5,"[589,871,1079,1041,964]","[1724000,2494000,3303000,3045000,2733000]",1079,13299000
1,21,5,"[797,821,1041,1094,940]","[2322000,2438000,3144000,3145000,2744000]",1094,13793000
1,22,5,"[625,983,1023,1061,896]","[1826000,2750000,3105000,3096000,2587000]",1061,13364000
1,23,5,"[772,1059,1066,1065,943]","[2222000,2960000,3249000,3043000,2764000]",1066,14238000
1,24,5,"[650,852,1059,1035,982]","[1913000,2450000,3219000,2958000,2868000]",1059,13408000
1,25,5,"[1217,843,1056,1163,1126]","[3788000,2334000,3230000,3427000,3331000]",1217,16110000
1,26,5,"[695,906,1101,987,988]","[2013000,2616000,3295000,2888000,2903000]",1101,13715000
1,27,5,"[812,990,1023,937,987]","[2325000,2780000,3140000,2731000,2903000]",1023,13879000
1,28,5,"[820,989,1037,951,987]","[2319000,2758000,3159000,2762000,2908000]",1037,13906000
1,29,5,"[760,1037,1035,1047,958]","[2210000,2884000,3142000,3080000,2770000]",1047,14086000
1,30,5,"[601,915,1041,1028,949]","[1749000,2579000,3200000,2919000,2745000]",1041,13192000
1,31,5,"[812,1011,1034,1078,970]","[2305000,2796000,3186000,3073000,2837000]",1078,14197000
1,32,5,"[819,989,1039,992,950]","[2315000,2751000,3163000,2901000,2790000]",1039,13920000
1,33,5,"[828,963,1021,1001,947]","[2378000,2670000,3120000,2928000,2757000]",1021,13853000
1,34,5,"[668,942,1041,998,949]","[1916000,2618000,3165000,2918000,2779000]",1041,13396000
1,35,5,"[813,1016,1006,1035,989]","[2296000,2802000,3097000,2964000,2904000]",1035,14063000
1,36,5,"[772,978,1032,996,942]","[2214000,2740000,3156000,2898000,2760000]",1032,13768000
1,37,5,"[654,893,1065,1028,1085]","[1890000,2564000,3267000,2915000,3126000]",1085,13762000
1,38,5,"[686,1015,1003,1069,994]","[1986000,2809000,3064000,3026000,2915000]",1069,13800000
1,39,5,"[654,1007,1038,1018,990]","[1907000,2803000,3184000,2906000,2900000]",1038,13700000
1,40,5,"[646,925,1059,1032,1011]","[1896000,2582000,3210000,2946000,2902000]",1059,13536000
1,41,5,"[632,886,1048,1047,978]","[1811000,2509000,3237000,2997000,2859000]",1048,13413000
1,42,5,"[663,890,1097,1026,1026]","[1924000,2556000,3317000,2969000,2929000]",1097,13695000
1,43,5,"[652,841,1123,1013,989]","[1901000,2422000,3372000,2893000,2905000]",1123,13493000
1,44,5,"[589,871,1078,1097,963]","[1724000,2494000,3301000,3160000,2716000]",1097,13395000
1,45,5,"[652,993,1064,1023,978]","[1899000,2719000,3249000,2916000,2859000]",1064,13642000
1,46,5,"[652,892,1106,999,984]","[1901000,2566000,3350000,2850000,2889000]",1106,13556000
1,47,5,"[622,869,1089,1043,961]","[1790000,2494000,3331000,3045000,2727000]",1089,13387000
1,48,5,"[1151,1003,1042,1026,967]","[3558000,2765000,3186000,2913000,2812000]",1151,15234000
1,49,5,"[659,885,1098,1001,995]","[1920000,2546000,3311000,2880000,2917000]",1098,13574000
1,50,5,"[627,926,1077,1069,1028]","[1807000,2636000,3271000,3080000,2912000]",1077,13706000
1,51,5,"[662,917,1103,984,986]","[1921000,2641000,3322000,2887000,2873000]",1103,13644000
1,52,5,"[835,1016,1002,1086,937]","[2366000,2805000,3069000,3108000,2741000]",1086,14089000
1,53,5,"[780,982,1016,1037,992]","[2241000,2751000,3116000,2974000,2855000]",1037,13937000
1,54,5,"[622,948,1036,1043,967]","[1790000,2630000,3213000,3060000,2822000]",1043,13515000
1,55,5,"[656,969,1026,1003,1046]","[1924000,2763000,3118000,2921000,2971000]",1046,13697000
1,56,5,"[623,842,1032,1063,986]","[1790000,2336000,3148000,3000000,2881000]",1063,13155000
1,57,5,"[749,1031,1029,1018,984]","[2143000,2870000,3163000,2906000,2876000]",1031,13958000
1,58,5,"[624,886,1026,991,955]","[1794000,2426000,3144000,2884000,2708000]",1026,12956000
1,59,5,"[721,942,1046,1051,963]","[2034000,2646000,3247000,3082000,2819000]",1051,13828000
1,60,5,"[626,950,1041,1048,983]","[1805000,2610000,3225000,2985000,2911000]",1048,13536000
1,61,5,"[662,963,1072,1047,957]","[1893000,2656000,3279000,3072000,2781000]",1072,13681000
1,62,5,"[806,1021,1021,1067,946]","[2278000,2811000,3121000,3043000,2785000]",1067,14038000
1,63,5,"[860,996,1024,1070,933]","[2431000,2732000,3139000,3048000,2727000]",1070,14077000
1,64,5,"[622,869,1057,1082,959]","[1790000,2494000,3224000,3167000,2717000]",1082,13392000
1,65,5,"[677,942,1106,1011,1033]","[1972000,2628000,3334000,2869000,2936000]",1106,13739000
1,66,5,"[699,941,1079,1037,982]","[2002000,2641000,3306000,2977000,2867000]",1079,13793000
1,67,5,"[651,848,1048,1019,991]","[1897000,2475000,3201000,2908000,2886000]",1048,13367000
1,68,5,"[858,997,1004,937,979]","[2445000,2737000,3069000,2734000,2894000]",1004,13879000
1,69,5,"[663,993,1050,1014,981]","[1911000,2759000,3207000,2898000,2844000]",1050,13619000
1,70,5,"[652,993,1044,1023,978]","[1901000,2712000,3209000,2916000,2859000]",1044,13597000
1,71,5,"[655,845,1006,1067,933]","[1879000,2331000,3080000,3038000,2723000]",1067,13051000
1,72,5,"[644,825,1051,1039,990]","[1845000,2374000,3206000,2964000,2891000]",1051,13280000
1,73,5,"[769,900,1123,933,985]","[2208000,2514000,3387000,2726000,2896000]",1123,13731000
1,74,5,"[839,1012,1007,934,986]","[2377000,2794000,3078000,2731000,2917000]",1012,13897000
1,75,5,"[657,832,1063,1033,987]","[1915000,2422000,3248000,2954000,2888000]",1063,13427000
1,76,5,"[800,822,1049,1029,984]","[2325000,2439000,3173000,2958000,2889000]",1049,13784000
1,77,5,"[656,827,1064,1077,981]","[1905000,2403000,3228000,3041000,2874000]",1077,13451000
1,78,5,"[652,866,1057,1036,958]","[1874000,2482000,3255000,3049000,2707000]",1057,13367000
1,79,5,"[776,1030,1025,1003,932]","[2214000,2882000,3126000,2866000,2759000]",1030,13847000
1,80,5,"[676,997,1045,1022,940]","[1969000,2771000,3198000,2923000,2783000]",1045,13644000
1,81,5,"[833,1001,1013,1004,979]","[2365000,2778000,3089000,2858000,2884000]",1013,13974000
1,82,5,"[641,943,1054,1021,990]","[1880000,2636000,3191000,2910000,2902000]",1054,13519000
1,83,5,"[678,906,1041,1043,955]","[1950000,2523000,3235000,3063000,2795000]",1043,13566000
1,84,5,"[659,825,1044,1048,953]","[1889000,2379000,3235000,3069000,2759000]",1048,13331000
1,85,5,"[669,825,1047,1006,996]","[1945000,2405000,3195000,2909000,2897000]",1047,13351000
1,86,5,"[594,896,1080,1038,897]","[1743000,2565000,3316000,3053000,2568000]",1080,13245000
2,1,5,"[960,932,961,827,774]","[2779000,2740000,2788000,2389000,2210000]",961,12906000
2,2,5,"[955,869,994,752,889]","[2743000,2532000,2851000,2147000,2544000]",994,12817000
2,3,5,"[958,937,955,877,735]","[2781000,2768000,2774000,2535000,2092000]",958,12950000
2,4,5,"[895,941,966,944,728]","[2587000,2767000,2804000,2621000,2125000]",966,12904000
2,5,5,"[908,932,925,884,872]","[2652000,2740000,2680000,2489000,2515000]",932,13076000
2,6,5,"[900,1015,912,923,673]","[2593000,2927000,2649000,2672000,1973000]",1015,12814000
